reaction	name	rule	n_conditions_essential	conditions	genes
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	NP_385852_1 or NP_386423_1 or NP_387274_1 or NP_435571_1 or NP_435905_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00521: hypothetical protein SMc00521 || SMc01566: ATP-dependent DNA helicase || SMc03785: dinucleoside polyphosphate hydrolase || SMa0621: FixI2 E1-E2 type cation ATPase (plasmid) || SMa1209: FixI1 ATPase (plasmid)
PPND	Prephenate dehydrogenase	NP_384359_1 or NP_386767_1 or NP_387347_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00333: 3-phosphoshikimate 1-carboxyvinyltransferase || SMc00711: cyclohexadienyl dehydrogenase || SMc03858: chorismate mutase
CBPS	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	NP_385682_1 or NP_386426_1 or (NP_385682_1 and NP_386426_1)	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc01215: carbamoyl phosphate synthase large subunit || SMc01569: carbamoyl phosphate synthase small subunit
GF6PTA	Glutamine-fructose-6-phosphate transaminase	NP_384193_1 or NP_384308_1 or NP_435728_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02610: amidotransferase || SMc02877: hypothetical protein SMc02877 || SMa0878: glucosamine--fructose-6-phosphate aminotransferase (plasmid)
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	NP_384361_1 or NP_385018_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00335: 30S ribosomal protein S1 || SMc00016: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NDPK7	Nucleoside-diphosphate kinase (ATP:dCDP)	NP_385270_1 or NP_385483_2	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00595: nucleoside diphosphate kinase || SMc01288: adenylate kinase
ARGSL	Argininosuccinate lyase	NP_386753_1 or NP_437213_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00725: argininosuccinate lyase || SMb21094: argininosuccinate lyase (plasmid)
PHETA1	Phenylalanine transaminase	NP_384413_1 or NP_384661_1 or NP_385077_2 or NP_385155_1 or NP_386078_1 or NP_386168_1 or NP_386431_1 or NP_386609_1 or NP_387397_1 or NP_435452_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00387: aromatic amino acid aminotransferase || SMc02251: aspartate aminotransferase || SMc00042: aminotransferase || SMc02393: histidinol-phosphate aminotransferase || SMc04326: aminotransferase || SMc04323: aminotransferase || SMc01578: aspartate aminotransferase || SMc01969: hypothetical protein SMc01969 || SMc04386: aspartate aminotransferase B protein || SMa0387: histidinol-phosphate aminotransferase (plasmid)
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	NP_385214_1 or NP_386423_1 or NP_386729_1 or NP_387274_1 or NP_435571_1 or NP_435905_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02554: hypothetical protein SMc02554 || SMc01566: ATP-dependent DNA helicase || SMc02448: mutator protein 7,8-dihydro-8-oxoguanine-triphosphatase || SMc03785: dinucleoside polyphosphate hydrolase || SMa0621: FixI2 E1-E2 type cation ATPase (plasmid) || SMa1209: FixI1 ATPase (plasmid)
NDPK4	Nucleoside-diphosphate kinase (ATP:dTDP)	NP_385270_1 or NP_385483_2	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00595: nucleoside diphosphate kinase || SMc01288: adenylate kinase
DHDPS	Dihydrodipicolinate synthase	NP_385165_1 or NP_436680_1 or NP_436789_1 or NP_437878_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02404: dihydrodipicolinate synthase || SMb20140: dihydrodipicolinate synthase (plasmid) || SMb20259: dihydrodipicolinate synthase (plasmid) || SMb21508: dihydrodipicolinate synthetase (plasmid)
DHAD1	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	NP_386934_1 or NP_436655_1 or NP_437724_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc04045: dihydroxy-acid dehydratase || SMb20115: dihydroxy-acid dehydratase (plasmid) || SMb20890: dihydroxy-acid dehydratase (plasmid)
ADCL	4-aminobenzoate synthase	NP_385251_1 or NP_386903_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00575: hypothetical protein SMc00575 || SMc04013: aminodeoxychorismate synthase
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	NP_384361_1 or NP_385018_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00335: 30S ribosomal protein S1 || SMc00016: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase
DMATT	Dimethylallyltranstransferase	NP_384952_1 or NP_387373_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00860: octaprenyl-diphosphate synthase || SMc03884: geranyltranstransferase
RBFK	Riboflavin kinase	NP_384902_1 or NP_386545_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00909: bifunctional riboflavin kinase/FMN adenylyltransferase || SMc01502: hydrolase phosphatase
GARFT	Phosphoribosylglycinamide formyltransferase	NP_385289_1 or NP_386086_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00614: phosphoribosylglycinamide formyltransferase || SMc04334: formyltransferase
PRAGSr	Phosphoribosylglycinamide synthase	NP_384964_1 or NP_385290_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00993: phosphoribosylamine--glycine ligase || SMc00615: phosphoribosylaminoimidazole synthetase
PGAMT	Phosphoglucosamine mutase	NP_386840_1 or NP_437200_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00637: phosphoglucosamine mutase || SMb21081: phosphoglucomutase phosphomannomutase (plasmid)
G1PACT	Glucosamine-1-phosphate N-acetyltransferase	NP_385763_1 or NP_385854_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00232: bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase || SMc00519: hypothetical protein SMc00519
GLNS	Glutamine synthetase	NP_384196_1 or NP_385746_1 or NP_386613_1 or NP_437977_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02613: glutamine synthetase || SMc00948: glutamine synthetase || SMc01973: glutamine synthetase || SMb20745: glutatmine synthetase II protein (plasmid)
RNDR3	Ribonucleoside-diphosphate reductase (CDP)	NP_384139_1 or NP_385661_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02761: thioredoxin || SMc01237: ribonucleotide-diphosphate reductase subunit alpha
NNATr	Nicotinate-nucleotide adenylyltransferase	NP_386479_1 or NP_387268_2	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02711: hypothetical protein SMc02711 || SMc03778: nicotinic acid mononucleotide adenylyltransferase
GCALDD	Glycolaldehyde dehydrogenase	NP_387408_1 or NP_436440_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc04397: L-sorbosone dehydrogenase, NADP dependent protein || SMa2213: aldehyde dehydrogenase (plasmid)
DHORTS	Dihydroorotase	NP_384586_1 or NP_385409_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02166: dihydroorotase || SMc01361: dihydroorotase
ACLS	Acetolactate synthase	NP_436439_1 or (NP_386219_1 and NP_386220_1)	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc01430: acetolactate synthase 3 regulatory subunit || SMc01431: acetolactate synthase 3 catalytic subunit || SMa2211: thiamine pyrophosphate protein (plasmid)
UAGDP	UDP-N-acetylglucosamine diphosphorylase	NP_385763_1 or NP_385854_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00232: bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase || SMc00519: hypothetical protein SMc00519
RNDR2	Ribonucleoside-diphosphate reductase (GDP)	NP_384139_1 or NP_385661_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02761: thioredoxin || SMc01237: ribonucleotide-diphosphate reductase subunit alpha
TYRTA	Tyrosine transaminase	NP_384413_1 or NP_384661_1 or NP_385155_1 or NP_386078_1 or NP_386431_1 or NP_386609_1 or NP_387397_1 or NP_435452_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00387: aromatic amino acid aminotransferase || SMc02251: aspartate aminotransferase || SMc02393: histidinol-phosphate aminotransferase || SMc04326: aminotransferase || SMc01578: aspartate aminotransferase || SMc01969: hypothetical protein SMc01969 || SMc04386: aspartate aminotransferase B protein || SMa0387: histidinol-phosphate aminotransferase (plasmid)
GRTT	Geranyltranstransferase	NP_384952_1 or NP_387373_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00860: octaprenyl-diphosphate synthase || SMc03884: geranyltranstransferase
IPPS	2-isopropylmalate synthase	NP_385222_1 or NP_386485_3	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02546: alpha-isopropylmalate/homocitrate synthase family transferase || SMc02717: 2-isopropylmalate synthase
ASPTA	Aspartate transaminase	NP_384413_1 or NP_384661_1 or NP_384672_1 or NP_385430_1 or NP_386431_1 or NP_386609_1 or NP_387397_1 or NP_437517_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00387: aromatic amino acid aminotransferase || SMc02251: aspartate aminotransferase || SMc02262: aminotransferase || SMc01340: aminotransferase || SMc01578: aspartate aminotransferase || SMc01969: hypothetical protein SMc01969 || SMc04386: aspartate aminotransferase B protein || SMb21537: 2-aminoethylphosphonate--pyruvate transaminase (plasmid)
RBFSb	Riboflavin synthase	NP_385317_1 or NP_386327_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc01773: riboflavin synthase subunit alpha || SMc01609: riboflavin synthase subunit beta
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	NP_385270_1 or NP_385483_2	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00595: nucleoside diphosphate kinase || SMc01288: adenylate kinase
VALTA	Valine transaminase	NP_384327_1 or NP_385077_2	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02896: branched-chain amino acid aminotransferase || SMc00042: aminotransferase
TMPPP	Thiamine-phosphate diphosphorylase	NP_437627_1 or NP_438070_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMb20962: phoshomethylpyrimidine kinase (plasmid) || SMb20618: thiamine-phosphate pyrophosphorylase (plasmid)
OCBT	Ornithine carbamoyltransferase	NP_384624_1 or NP_435614_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02137: ornithine carbamoyltransferase || SMa0695: ornithine carbamoyltransferase (plasmid)
UMPK	UMP kinase	NP_384360_1 or NP_385603_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00334: cytidylate kinase || SMc02099: uridylate kinase
GTPCI	GTP cyclohydrolase I	NP_385526_1 or NP_386491_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc01005: GTP cyclohydrolase I || SMc02723: 7-cyano-7-deazaguanine reductase
ASNS1	Asparagine synthase (glutamine-hydrolysing)	NP_437003_1 or NP_437900_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMb20481: asparagine synthetase (glutamine amidotransferase) protein (plasmid) || SMb20652: asparagine synthetase (plasmid)
TMDS	Thymidylate synthase	NP_386233_1 or NP_437550_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc01444: thymidylate synthase || SMb21570: NADH-dependent oxidase (plasmid)
HCO3E	HCO3 equilibration reaction	NP_387424_1 or spontaneous	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc04083: carbonic anhydrase
THZPSN	Thiazole phosphate synthesis	NP_437711_1 or NP_438069_1	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMb20877: oxidoreductase (plasmid) || SMb20617: thiazole synthase (plasmid)
HISTD	Histidinol dehydrogenase	NP_384717_1 or NP_435458_3	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc02307: histidinol dehydrogenase || SMa0398: histidinol dehydrogenase (plasmid)
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	NP_385270_1 or NP_385483_2	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc00595: nucleoside diphosphate kinase || SMc01288: adenylate kinase
IPPMIa	3-isopropylmalate dehydratase	NP_387312_1 or (NP_387284_1 and NP_387312_1)	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc03795: isopropylmalate isomerase small subunit || SMc03823: isopropylmalate isomerase large subunit
IPPMIb	2-isopropylmalate hydratase	NP_387312_1 or (NP_387284_1 and NP_387312_1)	21	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose	SMc03795: isopropylmalate isomerase small subunit || SMc03823: isopropylmalate isomerase large subunit
