org	model	gene	desc	conditions_now_essential	of_which_important	conditions_now_dispensable	of_which_important_	mean_fitness_growth_conditions
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SO2615	4-amino-4-deoxychorismate lyase (NCBI ptt file)	0	0	8	4	-2.4019375
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SO0613	para-aminobenzoate synthase glutamine amidotransferase, comp	0	0	8	0	0.10175
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SO2221	para-aminobenzoate synthase, component I (NCBI ptt file)	0	0	8	0	0.1605625
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SO3555	phosphoribosylaminoimidazole carboxylase, ATPase subunit (NC	0	0	7	7	-5.230125000000001
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SO3554	phosphoribosylaminoimidazole carboxylase, catalytic subunit 	0	0	7	7	-5.668
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SO4066	phosphoribosylaminoimidazole-succinocarboxamide synthase, pu	0	0	7	7	-5.233625
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	PP_1917	4-amino-4-deoxychorismate lyase	0	0	4	0	-0.3169642857142857
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	PP_1426	L-aspartate oxidase	0	0	4	0	-0.6159345238095238
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	PP_0787	quinolinate phosphoribosyltransferase (decarboxylating) mono	0	0	4	0	-3.425830357142857
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	PP_2329	aminodeoxychorismate synthase / para-aminobenzoate synthase 	0	0	4	0	-0.04325595238095238
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	PP_4565	Isocitrate dehydrogenase kinase/phosphatase	0	0	4	0	-0.023110119047619053
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	PP_1231	quinolinate synthase [4Fe-4S] cluster subunit	0	0	4	0	-3.270919642857143
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	PP_0515	Riboflavin synthase	0	0	4	0	-0.03213988095238096
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SMc04013	aminodeoxychorismate synthase	0	0	21	0	-0.055095238095238086
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SMc02599	L-aspartate oxidase	0	0	21	0	-0.06785714285714285
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SMc00008	riboflavin biosynthesis protein RibA	0	0	21	0	0.047952380952380955
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SMc02598	nicotinate-nucleotide pyrophosphorylase carboxylating protei	0	0	21	0	0.04285714285714285
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SMc02601	quinolinate synthetase	0	0	21	0	-0.16166666666666668
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich	SMc01777	6,7-dimethyl-8-ribityllumazine synthase	0	0	21	0	0.10976190476190477
