org	model	gene	desc	conditions_now_essential	of_which_important	conditions_now_dispensable	of_which_important_	mean_fitness_growth_conditions
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__nodroprich	BT2076	acetohydroxyacid synthase small subunit (NCBI ptt file)	14	14	0	0	-4.371021428571429
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__nodroprich	BT0531	anthranilate synthase component II (NCBI ptt file)	14	10	0	0	-2.290430952380952
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__nodroprich	BT0530	anthranilate phosphoribosyltransferase (NCBI ptt file)	14	14	0	0	-4.242083333333333
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__nodroprich	BT0557	carbamyl phosphate synthetase (NCBI ptt file)	0	0	14	0	0.02148333333333333
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__nodroprich	BT1859	3-isopropylmalate dehydratase small subunit (NCBI ptt file)	14	14	0	0	-4.358954761904761
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__nodroprich	BT3918	pyridoxal phosphate biosynthetic protein pdxJ (NCBI ptt file	14	12	0	0	-3.286890476190476
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO2615	4-amino-4-deoxychorismate lyase (NCBI ptt file)	8	4	0	0	-2.4019375
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO3723	adenylylsulfate kinase (NCBI ptt file)	8	7	0	0	-4.6323125
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO0278	argininosuccinate synthase (NCBI ptt file)	8	7	0	0	-5.166375
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO2767	asparagine synthetase B, glutamine-hydrolyzing (NCBI ptt fil	8	8	0	0	-5.3245625
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO1142	carbamoyl-phosphate synthase, large subunit (NCBI ptt file)	8	8	0	0	-5.7335625
