org	model	gene	desc	conditions_now_essential	of_which_important	conditions_now_dispensable	of_which_important_	mean_fitness_growth_conditions
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1	BT0531	anthranilate synthase component II (NCBI ptt file)	14	10	0	0	-2.290430952380952
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1	BT0530	anthranilate phosphoribosyltransferase (NCBI ptt file)	14	14	0	0	-4.242083333333333
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1	BT0557	carbamyl phosphate synthetase (NCBI ptt file)	0	0	14	0	0.02148333333333333
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1	BT0556	carbamoyl phosphate synthetase III (glutamine-hydrolyzing) (	0	0	14	0	0.06196904761904761
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1	BT1859	3-isopropylmalate dehydratase small subunit (NCBI ptt file)	14	14	0	0	-4.358954761904761
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1	SO3723	adenylylsulfate kinase (NCBI ptt file)	8	7	0	0	-4.6323125
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1	SO3695	dihydroorotase, homodimeric type (NCBI ptt file)	6	6	0	0	-3.647875
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1	SO3726	sulfate adenylyltransferase, subunit 1 (NCBI ptt file)	8	7	0	0	-5.2540625
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__patched-v0.1	SO3727	sulfate adenylyltransferase, subunit 2 (NCBI ptt file)	8	7	0	0	-5.2034375
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1	PP_0421	Anthranilate phosphoribosyltransferase	28	28	0	0	-3.9092708333333337
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1	PP_0417	Anthranilate synthase component 1	28	28	0	0	-4.476877976190477
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__patched-v0.1	PP_5128	Dihydroxy-acid dehydratase	28	28	0	0	-4.2375565476190475
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1	SMc03797	homoserine O-succinyltransferase	21	21	0	0	-7.708047619047619
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1	SMc03795	isopropylmalate isomerase small subunit	21	21	0	0	-4.150285714285714
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1	SMc02717	2-isopropylmalate synthase	21	21	0	0	-7.289476190476191
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1	SMc03112	B12-dependent methionine synthase	21	21	0	0	-6.431952380952381
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__patched-v0.1	SMc00091	sulfate adenylyltransferase	21	21	0	0	-4.261904761904762
