org	model	variant	genes_scored	cond_mapped	cond_wt_grows	pairs	aucpr_bernstein	aucpr_ci	mcc	mcc_ci	balanced_accuracy	auroc	tp	tn	fp	fn	dropped_rich	genes_with_fitness
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml	shipped	0	25	0	0											38	507
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	472	25	14	6608	0.4207958043969223	[0.25893839495228765, 0.5838135995771608]	0.48333636599539287	[0.3459203562946483, 0.6033936951411698]	0.6573295860628389	0.6789319193211478	5874.0	221.0	463.0	50.0	35	507
Keio	iML1515	curated	1329	32	32	42528	0.6127971195004045	[0.4999654276678661, 0.7059915142091723]	0.5979467707330253	[0.5225102146894457, 0.6645600325629192]	0.7573885714680344	0.7962065698059871	38280.0	1899.0	1669.0	680.0	10	1339
MR1	Shewanella_oneidensis_MR_1_xml	shipped	0	12	0	0											38	713
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled	gapfilled	676	12	8	5408	0.2979479527927474	[0.18951394375933317, 0.4416563926301643]	0.4112340116344843	[0.31964921456351364, 0.4963434937358803]	0.5982114651981058	0.6302739285313954	4669.0	145.0	590.0	4.0	37	713
Putida	Pseudomonas_putida_KT2440_xml	shipped	1021	43	1	1021	0.5086932525336387	[0.3530261021764737, 0.6735942784156466]	0.6726750197639055	[0.5834710772972183, 0.7675931602997134]	0.7419006822148184	0.8229176582579724	954.0	32.0	34.0	1.0	17	1038
Putida	Pseudomonas_putida_KT2440_xml_gapfilled	gapfilled	1021	43	28	28588	0.5489547900498687	[0.41930824059130706, 0.6745638885080155]	0.6207752920748199	[0.5300798571632489, 0.7061421861626919]	0.7265715937693669	0.7185214710332339	26765.0	786.0	934.0	103.0	17	1038
Putida	iJN1463	curated	1121	43	36	40356	0.47133789268088555	[0.37039662770811127, 0.5570975851864645]	0.48898818411138584	[0.403588811330679, 0.5598522672617439]	0.8010353554348966	0.7900777404612547	36133.0	1446.0	762.0	2015.0	27	1148
Smeli	Sinorhizobium_meliloti_1021_xml	shipped	0	33	0	0											24	979
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled	gapfilled	957	33	21	20097	0.47656848101396476	[0.3065385837994407, 0.6359446676201961]	0.529112114358025	[0.4339903445760337, 0.6270204946011073]	0.6689504167818873	0.6705863440856783	18546.0	506.0	975.0	70.0	22	979
