org	model	variant	universe_patches	gpr_patches	reaction_patches_applied	gene_rule_patches_applied	medium_completion	scoring	genes_scored	cond_mapped	cond_wt_grows	pairs	aucpr_bernstein	mcc	mcc_ci_low	mcc_ci_high	balanced_accuracy	auroc	tp	tn	fp	fn	created	run_dir
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml	shipped				0	False	drop_rich_essentials	0	25	0	0											2026-09-06T09:12:09Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml__shipped
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled				0	False	drop_rich_essentials	472	25	14	6608	0.4208	0.4833	0.3459	0.6034	0.6573	0.6809	5874.0000	221.0000	463.0000	50.0000	2026-09-06T08:54:20Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled				0	False	all_genes	507	25	14	7098	0.4728	0.5035	0.3872	0.6114	0.7300	0.7450	5874.0000	475.0000	463.0000	286.0000	2026-09-06T08:48:17Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__nodroprich
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	universe_patches_v0.1.json	gpr_patches_v0.2.json,gpr_patches_v0.3.json	CBPS;PPCK	38	True	all_genes	509	25	14	7126	0.5487	0.5601	0.4615	0.6543	0.7633	0.7779	5905.0000	539.0000	404.0000	278.0000	2026-09-06T08:29:51Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3+medium__nodroprich
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	universe_patches_v0.1.json	gpr_patches_v0.2.json,gpr_patches_v0.3.json	CBPS;PPCK	38	False	all_genes	509	25	14	7126	0.5436	0.5536	0.4538	0.6511	0.7622	0.7790	5891.0000	539.0000	404.0000	292.0000	2026-09-06T08:35:58Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2+0.3__nodroprich
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	universe_patches_v0.1.json	gpr_patches_v0.2.json	CBPS;PPCK	13	False	drop_rich_essentials	471	25	14	6594	0.5262	0.5554	0.4249	0.6582	0.6922	0.7157	5892.0000	259.0000	403.0000	40.0000	2026-09-06T09:06:25Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	universe_patches_v0.1.json	gpr_patches_v0.2.json	CBPS;PPCK	13	False	all_genes	508	25	14	7112	0.5491	0.5604	0.4608	0.6544	0.7636	0.7794	5892.0000	539.0000	403.0000	278.0000	2026-09-06T08:42:22Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1+gpr-v0.2__nodroprich
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	universe_patches_v0.1.json	gpr_patches_v0.2.json,gpr_patches_v0.3.json	CBPS;PPCK;GCALDt;EX_gcald_e	38	True	all_genes	509	25	14	7126	0.5487	0.5601	0.4615	0.6543	0.7633	0.7784	5905.0000	539.0000	404.0000	278.0000	2026-09-06T08:23:08Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1+model-v0.1+gpr-v0.2+0.3+medium__nodroprich
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	universe_patches_v0.1.json	gpr_patches_v0.2.json,gpr_patches_v0.3.json	CBPS;PPCK;GCALDt;EX_gcald_e;ATPS4rpp	38	True	all_genes	509	25	14	7126	0.5487	0.5601	0.4615	0.6543	0.7633	0.7802	5905.0000	539.0000	404.0000	278.0000	2026-09-06T08:16:21Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1+model-v0.2+gpr-v0.2+0.3+medium__nodroprich
Btheta	Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled	gapfilled	universe_patches_v0.1.json		CBPS;PPCK	0	False	drop_rich_essentials	472	25	14	6608	0.4043	0.4683	0.3155	0.5895	0.6561	0.6781	5860.0000	221.0000	463.0000	64.0000	2026-09-06T09:00:21Z	results/carbon_fitness_multi/Btheta/Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfilled__gapfilled__patched-v0.1
