condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Maltotetraose	Varel_Bryant_medium	maltttr	high	2	1.8892128768401976e-05	False	EX_maltttr_e	510	64
Maltohexaose	Varel_Bryant_medium	malthx	high	2	1.8892128768401884e-05	False	EX_malthx_e	510	64
Laminaribiose	Varel_Bryant_medium	lmn2	medium	2	0.7808802389077618	True		59	61
Stachyose - 70%	Varel_Bryant_medium	stys	medium	2	1.8869478076218402e-05	False	EX_stys_e	510	66
Melibiose	Varel_Bryant_medium	melib	high	2	1.886947807621651e-05	False	EX_melib_e	510	52
D-Glucose	Varel_Bryant_medium	glc__D	high	10	0.4185629116878881	True		60	61
D-Trehalose dihydrate	Varel_Bryant_medium	tre	high	4	1.8869478076215624e-05	False	EX_tre_e	510	71
D-Arabinose	Varel_Bryant_medium	arab__D	high	2	0.3721119723006407	True		60	80
D-Raffinose pentahydrate	Varel_Bryant_medium	raffin	high	2	1.1989386933953687	True		60	71
L-Fucose	Varel_Bryant_medium	fuc__L	high	2	0.2124695441545714	True		63	63
Beta-Lactose	Varel_Bryant_medium	lcts	high	2	0.7530096752768156	True		59	70
D-Fructose	Varel_Bryant_medium	fru	high	2	0.4185629116878841	True		60	71
D-Maltose monohydrate	Varel_Bryant_medium	malt	high	2	1.886947807621597e-05	False		510	69
L-Rhamnose monohydrate	Varel_Bryant_medium	rmn	high	2	0.21246954415461103	True		64	77
D-Mannose	Varel_Bryant_medium	man	high	2	1.886947807622626e-05	False	EX_man_e	510	69
D-Xylose	Varel_Bryant_medium	xyl__D	high	2	0.3442414086681555	True		60	77
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	galur	high	2	0.3714500852586112	True		64	68
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	high	2	1.8869478076204694e-05	False	EX_acgam_e	510	68
L-Arabinose	Varel_Bryant_medium	arab__L	high	2	0.34424140866813296	True		63	75
D-Galactose	Varel_Bryant_medium	gal	high	2	0.29267271296232544	True		60	70
D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	high	1	1.886947807621184e-05	False	EX_gam_e	510	62
D-Ribose	Varel_Bryant_medium	rib__D	high	1	0.26062971777330735	True		60	75
Red Arabinan from sugar-beet	Varel_Bryant_medium	araban__L	medium	3	1.0317153116008915	True		64	59
Amylose from potato	Varel_Bryant_medium	amylose300	medium	2	13.225036964354592	True		61	54
Starch	Varel_Bryant_medium	starch1200	medium	3	12.33730640461747	True		62	62
