model_gene	browser_gene
NP_717429_1	SO1821
NP_715952_1	SO0312
NP_718625_1	SO3060
NP_719112_1	SO3565
NP_715836_1	SO0194
NP_719895_1	SO4371
NP_718215_1	SO2631
NP_717267_1	SO1656
NP_717464_1	SO1856
NP_717251_1	SO1640
NP_718357_1	SO2776
NP_717294_1	SO1683
NP_718817_2	SO3263
NP_719904_1	SO4380
NP_719907_1	SO4383
NP_718636_2	SO3072
NP_718425_1	SO2853
NP_718355_1	SO2774
NP_718457_1	SO2885
NP_718967_1	SO3414
NP_718966_1	SO3413
NP_716942_1	SO1322
NP_719245_1	SO3705
NP_719486_1	SO3956
NP_718356_1	SO2775
NP_716899_1	SO1276
NP_718652_1	SO3089
NP_715662_1	SO0020
NP_717011_1	SO1391
NP_717739_1	SO2136
NP_718327_1	SO2743
NP_717234_1	SO1623
NP_717832_1	SO2236
NP_717834_1	SO2238
NP_717833_1	SO2237
NP_715916_1	SO0276
NP_719772_1	SO4245
NP_719870_1	SO4346
NP_719871_1	SO4347
NP_717874_1	SO2278
NP_717875_1	SO2279
NP_718819_1	SO3265
NP_719156_2	SO3613
NP_718485_1	SO2915
NP_718815_1	SO3261
NP_717290_1	SO1679
NP_718349_1	SO2768
NP_717985_1	SO2395
NP_718079_1	SO2492
NP_718122_1	SO2536
NP_718359_1	SO2778
NP_717352_1	SO1742
NP_716069_1	SO0432
NP_716250_1	SO0617
NP_718360_1	SO2779
NP_717817_1	SO2220
YP_007001348_1	SO_1900
NP_720046_1	SO4527
NP_717326_1	SO1716
NP_717849_1	SO2253
NP_718429_1	SO2857
NP_719109_1	SO3562
NP_719846_1	SO4321
NP_719499_1	SO3969
NP_720247_1	SO4731
NP_718200_1	SO2615
NP_718199_1	SO2614
NP_716246_1	SO0613
NP_717818_1	SO2221
NP_716745_1	SO1120
NP_717624_1	SO2018
NP_717479_2	SO1871
NP_719315_1	SO3778
NP_719546_1	SO4016
NP_719987_1	SO4466
NP_719837_1	SO4312
NP_716837_1	SO1214
NP_716838_1	SO1215
NP_717586_1	SO1979
NP_718038_1	SO2448
NP_719434_1	SO3903
NP_715832_1	SO0190
NP_717618_2	SO2012
NP_718203_1	SO2618
NP_719263_1	SO3723
NP_718219_1	SO2635
NP_716881_1	SO1258
NP_719468_1	SO3937
NP_716619_1	SO0990
NP_719052_1	SO3505
NP_716058_1	SO0421
NP_716233_1	SO0600
NP_717846_1	SO2250
NP_719350_1	SO3814
NP_718492_1	SO2922
NP_718205_1	SO2620
NP_716202_1	SO0567
NP_719891_1	SO4367
NP_715915_1	SO0275
NP_716721_1	SO1095
NP_716079_1	SO0442
NP_719102_1	SO3555
NP_719101_1	SO3554
NP_717537_1	SO1930
NP_717538_1	SO1931
NP_716063_1	SO0426
NP_716461_1	SO0830
NP_717814_1	SO2217
YP_007001355_1	SO_2304
NP_719447_1	SO3916
NP_719020_1	SO3471
NP_718892_1	SO3338
NP_718070_1	SO2483
NP_719088_1	SO3541
NP_718628_1	SO3063
NP_716489_1	SO0858
NP_718064_1	SO2477
NP_717657_1	SO2054
NP_720479_1	SOA0164
NP_716530_1	SO0900
NP_720001_1	SO4480
NP_717977_1	SO2387
NP_719680_1	SO4151
NP_717110_1	SO1493
NP_718025_1	SO2435
NP_719727_1	SO4199
NP_719725_1	SO4197
NP_718035_1	SO2445
NP_718186_1	SO2600
NP_717860_1	SO2264
NP_716686_1	SO1059
NP_716988_1	SO1368
NP_716507_1	SO0876
NP_716740_1	SO1115
NP_717756_2	SO2156
NP_716933_1	SO1313
NP_718589_1	SO3021
NP_718587_1	SO3019
NP_719183_1	SO3641
NP_716620_1	SO0992
NP_716912_1	SO1290
NP_719018_1	SO3469
NP_718984_1	SO3431
NP_717478_1	SO1870
NP_715919_1	SO0279
NP_715918_1	SO0278
NP_718437_1	SO2865
NP_718634_1	SO3070
NP_717718_2	SO2115
NP_718011_1	SO2421
NP_718348_1	SO2767
NP_718731_1	SO3175
NP_716170_1	SO0534
NP_717379_2	SO1769
NP_716921_1	SO1301
NP_719516_1	SO3986
NP_718980_1	SO3427
NP_718968_1	SO3415
NP_719585_1	SO4055
NP_716961_1	SO1341
NP_717940_1	SO2350
NP_719867_2	SO4343
NP_719940_1	SO4417
NP_716551_2	SO0922
NP_718443_2	SO2871
NP_716169_1	SO0533
NP_716251_1	SO0618
NP_718936_1	SO3382
NP_719670_1	SO4141
NP_717677_1	SO2074
NP_715780_1	SO0138
NP_720238_1	SO4722
NP_720023_2	SO4503
NP_717266_2	SO1655
