condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.38000839845645307	719	589.0	62.0	55.0	13.0	0.6138392811935658	0.5489707583004241	0.8005011784081553
Sodium pyruvate	ShewMM_noCarbon	0.35889682076103546	719	583.0	60.0	64.0	12.0	0.5835670326087287	0.5496763067801043	0.7824003795066412
Sodium propionate	ShewMM_noCarbon	0.41167576499059616	719	558.0	60.0	87.0	14.0	0.5092592052015158	0.5938227610850596	0.7219268826411684
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	1.1849273647530356	719	579.0	60.0	65.0	15.0	0.5638258193376111	0.6291103210605012	0.7943434343434344
Adenosine	ShewMM_noCarbon	1.148231454547844	719	575.0	53.0	74.0	17.0	0.4999211817835798	0.5812107113240474	0.750418972121728
Uridine	ShewMM_noCarbon	0.8435233912896607	719	573.0	54.0	79.0	13.0	0.5126880319059222	0.5718954203992024	0.7715812568965075
Inosine	ShewMM_noCarbon	1.135618256846523	719	576.0	54.0	73.0	16.0	0.5122237224175393	0.5789491015490201	0.7533185252181315
Cytidine	ShewMM_noCarbon	0.8556424350244956	719	575.0	54.0	77.0	13.0	0.5180175978225621	0.6157561311067462	0.7623461598379809
Sodium D,L-Lactate	ShewMM_noCarbon	0.8127128820749954	719	557.0	62.0	91.0	9.0	0.5341368682248571	0.6009311574294474	0.7172625233839119
L-Glutamine	ShewMM_noCarbon	0.6792515292425841	719	605.0	55.0	42.0	17.0	0.6141836998219844	0.5566088741763965	0.7870603639738787
L-Isoleucine	ShewMM_noCarbon	-7.34583450336252e-15	719							
casamino acids	ShewMM_noCarbon	5.35187430027043	719	635.0	29.0	20.0	35.0	0.47752386204267716	0.5027694179404782	0.78955223880597
