condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345436014	1047	971.0	27.0	29.0	20.0	0.5019811783249836	0.4142203741935171	0.7872008793426553
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496952169	1047	972.0	34.0	23.0	18.0	0.6039515106199062	0.49396615434458985	0.8854598617756512
L-Histidine	MOPS minimal media_noCarbon	0.7719610958168237	1047	980.0	28.0	19.0	20.0	0.5700008463104085	0.4850684632004248	0.8047446808510638
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4979428725055065	1047	981.0	30.0	14.0	22.0	0.6094403161242795	0.6022316275930097	0.8925496238557057
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120547807880254	1047	984.0	28.0	11.0	24.0	0.6050564913658213	0.45585455575270134	0.8971052096052097
Sodium butyrate	MOPS minimal media_noCarbon	0.6043548054351241	1047	972.0	33.0	22.0	20.0	0.5900832120090564	0.4490430887270106	0.8645894428152493
Vanillin	MOPS minimal media_noCarbon	0.9212880558615285	1047	950.0	36.0	41.0	20.0	0.5184707518875136	0.49184975272824016	0.8410095059579595
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.3995994882859235	1047	968.0	36.0	23.0	20.0	0.6046048117716285	0.5250661704914956	0.8299509366636931
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612040522183841	1047	957.0	35.0	35.0	20.0	0.536876200811783	0.46425687491830536	0.7932446264073695
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879647942223817	1047	963.0	40.0	24.0	20.0	0.6232173865900439	0.6180956877416577	0.8385522634791455
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792266713	1047	960.0	41.0	27.0	19.0	0.618696247287177	0.5730729290336769	0.8275776602775942
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875425	1047	960.0	33.0	34.0	20.0	0.5270843574622838	0.44428275322414834	0.7531069144075542
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280569794	1047	957.0	37.0	35.0	18.0	0.5619676989449599	0.4037793726372202	0.848525641025641
benzoic acid	MOPS minimal media_noCarbon	0.7985011218348033	1047	964.0	38.0	28.0	17.0	0.6083264856661195	0.4584760166508362	0.8233404380193371
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	MOPS minimal media_noCarbon	0.9192631951464502	1047	971.0	32.0	24.0	20.0	0.5709049619763472	0.5398093928199371	0.8148244918552688
Phenylacetic acid	MOPS minimal media_noCarbon	1.1193057396557846	1047	955.0	36.0	37.0	19.0	0.5406986778251003	0.5602742477828184	0.8181626395881972
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
Hexanoic acid	MOPS minimal media_noCarbon	1.0006530385073362	1047	974.0	31.0	21.0	21.0	0.5750483185156552	0.569745043707822	0.8823444143795903
Decanoic acid	MOPS minimal media_noCarbon	1.793249504651767	1047	969.0	33.0	26.0	19.0	0.5732689491723721	0.4956080223923321	0.8463597063061826
Lauric acid	MOPS minimal media_noCarbon	2.1832254730424774	1047	964.0	33.0	30.0	20.0	0.5461634677351516	0.5229131030951207	0.8223319137953283
Octanoic acid	MOPS minimal media_noCarbon	1.3969512715795334	1047	970.0	34.0	25.0	18.0	0.5923336059644019	0.5207191812525566	0.8190317710835106
Myristic acid	MOPS minimal media_noCarbon	2.547096385216219	1047	965.0	32.0	29.0	21.0	0.5377646693862423	0.5067448808475994	0.8139444019552422
Oleic acid	MOPS minimal media_noCarbon	3.2748382095636965	1047	968.0	32.0	26.0	21.0	0.5535523295529667	0.5627833929648662	0.7635368362330461
Butanol	MOPS minimal media_noCarbon	0.7277418243474907	1047	968.0	34.0	24.0	21.0	0.579299170685632	0.5894244686415223	0.8236201666608556
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1047							
Ethanol	MOPS minimal media_noCarbon	0.36387091217374506	1047	977.0	32.0	18.0	20.0	0.6085116561333935	0.6138004866619301	0.8379839518555666
L-Valine	MOPS minimal media_noCarbon	0.7770238784421464	1047	961.0	31.0	34.0	21.0	0.5059690617473699	0.4065921117576084	0.8504151652827825
L-Leucine	MOPS minimal media_noCarbon	0.9728503136615562	1047	972.0	28.0	23.0	24.0	0.5201125476503042	0.4223250407490463	0.8135975273643594
L-Isoleucine	MOPS minimal media_noCarbon	0.9990597947947619	1047	945.0	41.0	41.0	20.0	0.5497327766432096	0.5156567883126566	0.7997030203462657
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	RCH2_defined_noCarbon	0.9197596005616419	1047	978.0	30.0	26.0	13.0	0.5925104622058546	0.5920029653238753	0.8259514199221566
Potassium acetate	RCH2_defined_noCarbon	0.24775019823653618	1047	977.0	30.0	27.0	13.0	0.586715351272534	0.48683549479966437	0.8499556973241184
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.7649037691807145	1047	962.0	35.0	31.0	19.0	0.5614365131727747	0.5407088385104943	0.7770364192382542
Vanillin	RCH2_defined_noCarbon	0.9218143262285976	1047	940.0	33.0	60.0	14.0	0.4673633416442079	0.44311393526064025	0.7764139672234621
p-Coumaric acid	RCH2_defined_noCarbon	1.007963148830249	1047	965.0	33.0	36.0	13.0	0.5628873521823209	0.541378812309544	0.8187887140274442
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.7649037691810029	1047	974.0	27.0	19.0	27.0	0.5189191248719977	0.41613728237797154	0.8187899057464274
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742976398512084	1047	980.0	29.0	15.0	23.0	0.5875295953296185	0.5551565965841952	0.8849021118462793
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
D-Lysine	MOPS minimal media_noCarbon	0.0	1047							
