condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
D-Glucose	RCH2_defined_noCarbon	glc__D	high	1	0.7728728206024392	True		50	84
D-Fructose	RCH2_defined_noCarbon	fru	high	1	0.8744092777059123	True		50	82
L-Arabinose	RCH2_defined_noCarbon	arab__L	high	1	0.0	False		989	88
D-Arabinose	RCH2_defined_noCarbon	arab__D	high	1	0.6440758635199603	True		54	84
D-Maltose monohydrate	RCH2_defined_noCarbon	malt	high	1	1.6008485776712098	True		50	86
D-Xylose	RCH2_defined_noCarbon	xyl__D	high	1	0.6854748854560105	True		51	86
D-Galactose	RCH2_defined_noCarbon	gal	high	1	0.7728728206543158	True		50	78
D-Raffinose pentahydrate	RCH2_defined_noCarbon	raffin	high	1	2.483932783601002	True		50	81
L-Rhamnose monohydrate	RCH2_defined_noCarbon	rmn	high	1	0.8197643331090272	True		57	79
D-Ribose	RCH2_defined_noCarbon	rib__D	high	1	0.6440758635199626	True		50	76
L-Fucose	RCH2_defined_noCarbon	fuc__L	high	1	0.8607480415565545	True		51	84
D-Cellobiose	RCH2_defined_noCarbon	cellb	high	1	1.7112369556386375	True		50	82
Sodium L-Lactate	RCH2_defined_noCarbon	lac__L	high	1	0.37607582303853887	True		53	79
Sodium D,L-Lactate	RCH2_defined_noCarbon	lac__D;lac__L	high	1	0.37607582303854925	True	EX_lac__D_e	53	82
Sodium pyruvate	RCH2_defined_noCarbon	pyr	high	1	0.3223507054616174	True		53	79
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	succ	high	1	0.44453754487809194	True		52	76
m-Inositol	RCH2_defined_noCarbon	inost	high	1	0.8061030969598147	True		51	81
Glycerol	RCH2_defined_noCarbon	glyc	high	1	0.4918946655287154	True		50	84
D-Sorbitol	RCH2_defined_noCarbon	sbt__D	high	1	0.8694705385050798	True		50	85
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	mal__L	high	1	0.3889703517683283	True		53	75
D-Trehalose dihydrate	RCH2_defined_noCarbon	tre	high	1	1.6008485776712085	True		54	88
L-Histidine	RCH2_defined_noCarbon	his__L	high	1	0.6837042135819587	True		51	91
L-Lysine	RCH2_defined_noCarbon	lys__L	high	1	0.35297201461201927	True		53	92
L-Glutamine	RCH2_defined_noCarbon	gln__L	high	1	0.5909873371472413	True		52	87
L-Proline	RCH2_defined_noCarbon	pro__L	high	1	0.40985105593996923	True		53	93
L-Leucine	RCH2_defined_noCarbon	leu__L	high	1	0.0	False		989	78
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	acgam	high	1	1.008545523707534	True		54	89
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	gam	high	1	0.0	False	EX_gam_e	989	81
Uridine	RCH2_defined_noCarbon	uri	high	1	0.0	False	EX_uri_e	989	68
D-Salicin	RCH2_defined_noCarbon	salcn	high	1	0.8317428151663857	True		51	78
Beta-Lactose	RCH2_defined_noCarbon	lcts	high	1	1.600848577671172	True		53	79
D-Mannose	RCH2_defined_noCarbon	man	high	1	0.0	False	EX_man_e	989	88
D-(-)-tagatose	RCH2_defined_noCarbon	tagat__D	high	1	0.0	False	EX_tagat__D_e	989	87
