condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.7728728206024392	989	900.0	45.0	39.0	5.0	0.6746479337075546	0.6893708025217308	0.8187713759536964
D-Fructose	RCH2_defined_noCarbon	0.8744092777059123	989	902.0	45.0	37.0	5.0	0.6837648053344891	0.6587759455323614	0.8239572969048323
L-Arabinose	RCH2_defined_noCarbon	0.0	989							
D-Arabinose	RCH2_defined_noCarbon	0.6440758635199603	989	895.0	44.0	40.0	10.0	0.6291804458132515	0.6503301339064891	0.7781767955801105
D-Maltose monohydrate	RCH2_defined_noCarbon	1.6008485776712098	989	898.0	45.0	41.0	5.0	0.6658389049425225	0.6734738043008733	0.81894331556311
D-Xylose	RCH2_defined_noCarbon	0.6854748854560105	989	898.0	46.0	40.0	5.0	0.6744453113146875	0.6579265152200537	0.8369195704241674
D-Galactose	RCH2_defined_noCarbon	0.7728728206543158	989	905.0	44.0	34.0	6.0	0.6858771504644922	0.6951824676715442	0.8128289566269807
D-Raffinose pentahydrate	RCH2_defined_noCarbon	2.483932783601002	989	903.0	45.0	36.0	5.0	0.6884445615271455	0.7185483710520929	0.7855074237232827
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.8197643331090272	989	898.0	45.0	34.0	12.0	0.6472947426687179	0.6430037564776262	0.8134093754346919
D-Ribose	RCH2_defined_noCarbon	0.6440758635199626	989	908.0	45.0	31.0	5.0	0.7131613129749752	0.6358216736207551	0.8292211909840319
L-Fucose	RCH2_defined_noCarbon	0.8607480415565545	989	899.0	45.0	39.0	6.0	0.6669640478008967	0.6628805118482807	0.7877663772691397
D-Cellobiose	RCH2_defined_noCarbon	1.7112369556386375	989	902.0	45.0	37.0	5.0	0.6837648053344891	0.6607726605481459	0.7942963939010945
Sodium L-Lactate	RCH2_defined_noCarbon	0.37607582303853887	989	903.0	46.0	33.0	7.0	0.6916932756602512	0.6486124241591801	0.8035192655445821
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.37607582303854925	989	899.0	45.0	37.0	8.0	0.6611446089598801	0.6802182116901417	0.7742961249899158
Sodium pyruvate	RCH2_defined_noCarbon	0.3223507054616174	989	903.0	46.0	33.0	7.0	0.6916932756602512	0.5911950082847848	0.8054597301432744
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.44453754487809194	989	907.0	46.0	30.0	6.0	0.7144531399093663	0.6042165304118298	0.8415287946042543
m-Inositol	RCH2_defined_noCarbon	0.8061030969598147	989	903.0	46.0	35.0	5.0	0.6973327931542337	0.6183091839181745	0.8078465763854898
Glycerol	RCH2_defined_noCarbon	0.4918946655287154	989	900.0	45.0	39.0	5.0	0.6746479337075546	0.6885138487044996	0.859208103130755
D-Sorbitol	RCH2_defined_noCarbon	0.8694705385050798	989	899.0	45.0	40.0	5.0	0.6702060664456696	0.6750209473616846	0.8307782404997397
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.3889703517683283	989	908.0	47.0	28.0	6.0	0.7289388263127315	0.625854193527776	0.8489132020423049
D-Trehalose dihydrate	RCH2_defined_noCarbon	1.6008485776712085	989	892.0	45.0	43.0	9.0	0.6282948382453156	0.652179189192029	0.7984814852184441
L-Histidine	RCH2_defined_noCarbon	0.6837042135819587	989	892.0	45.0	46.0	6.0	0.6375811994887689	0.6440608152717541	0.7848821557062092
L-Lysine	RCH2_defined_noCarbon	0.35297201461201927	989	892.0	48.0	44.0	5.0	0.6657371983195295	0.5820531802825957	0.7636505743783626
L-Glutamine	RCH2_defined_noCarbon	0.5909873371472413	989	896.0	46.0	41.0	6.0	0.6625697463009713	0.6980366756494741	0.7856105206820093
L-Proline	RCH2_defined_noCarbon	0.40985105593996923	989	891.0	48.0	45.0	5.0	0.6616933552516432	0.6389587509277466	0.7832901305683564
L-Leucine	RCH2_defined_noCarbon	0.0	989							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	1.008545523707534	989	896.0	50.0	39.0	4.0	0.7020113860249486	0.696459541812272	0.8379525593008738
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	989							
Uridine	RCH2_defined_noCarbon	0.0	989							
D-Salicin	RCH2_defined_noCarbon	0.8317428151663857	989	904.0	44.0	34.0	7.0	0.678143650843054	0.6572497994661257	0.8266134706859185
Beta-Lactose	RCH2_defined_noCarbon	1.600848577671172	989	901.0	44.0	35.0	9.0	0.6585713036154168	0.6326276047460822	0.790541104465155
D-Mannose	RCH2_defined_noCarbon	0.0	989							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	989							
