model	n_rxns	n_genes	atp_synthase	n_proton_pumping_nadh	n_cyt_oxidases_pp	atpm_closed_exchanges
Abiotrophia_defectiva_ATCC_49176	1070	400		0	1	0.0
Aequorivita_viscosa_CGMCC_1_11023	1292	505		0	1	0.0
Anabaena_cylindrica_PCC_7122	1274	736		0	1	0.0
Bacillus_caseinilyticus_SP	1642	965		0	0	0.0
Bacteroides_thetaiotaomicron_VPI_5482	1487	675		0	4	0.0
Bacteroides_vulgatus_ATCC_8482	1412	625		0	2	0.0
Bifidobacterium_asteroides_PRL2011	969	428		0	0	0.0
Caldithrix_abyssi_DSM_13497_LF13	1538	736		1	1	0.0
Chryseobacterium_palustre_DSM_21579	1417	518		0	1	0.0
Corynebacterium_capitovis_DSM_44611	1068	497		0	1	0.0
Desulfatiglans_anilini_DSM_4660	1468	737		0	1	0.0
Eggerthella_lenta_DSM_2243	1225	555		0	0	0.0
Flavobacterium_degerlachei_DSM_15718	1482	599		0	2	0.0
Granulicatella_balaenopterae_DSM_15827	804	374		1	0	0.0
Hyphomonas_johnsonii_MHS_2	1561	683		0	1	0.0
Lactobacillus_collinoides_DSM_20515_JCM_1123	1424	680		0	0	0.0
Leptospira_borgpetersenii_serovar_Hardjo_bovis_str_L550	1272	528		0	1	0.0
Marinospirillum_alkaliphilum_DSM_21637	1681	771	ATPS4rpp	0	2	0.0
Micromonospora_siamensis_DSM_45097	1663	898		0	1	0.0
Mycoplasma_feriruminatoris_G5847	620	143		0	1	0.0
Nocardia_thailandica_NBRC_100428	1427	884		0	0	0.0
Paenibacillus_mucilaginosus_3016	1812	1041		0	0	0.0
Photobacterium_leiognathi_ATCC_25521	2074	939	ATPS4rpp	0	4	0.0
Pseudoalteromonas_luteoviolacea_S4054249	1790	828		0	2	0.0
Pseudomonas_putida_KT2440	1895	1292	ATPS4rpp	1	2	0.0
Rhodanobacter_glycinis_MO64	1628	702	ATPS4rpp	0	2	0.0
Saccharopolyspora_rectivirgula_DSM_43747	1388	828		0	0	0.0
Shewanella_oneidensis_MR_1	1972	895		3	3	0.0
Sinorhizobium_meliloti_1021	1992	1196		0	3	0.0
Sphingomonas_hankookensis_CN3	1562	692		0	1	0.0
Streptomyces_autolyticus_CGMCC0516	2023	1214		0	1	0.0
Tetrasphaera_elongata_Lp2	1262	665		0	0	0.0
Tropicimonas_sediminicola_DSM_29339	1788	1041		0	3	0.0
