GCF_900094565.1	293958	Rhizobium lusitanum	models/r/rhizobium/Rhizobium_lusitanum_P1_7.xml.gz
GCF_000255295.1	1144275	Corallococcus coralloides DSM 2259	models/c/corallococcus/Corallococcus_coralloides_DSM_2259.xml.gz
GCF_900115595.1	441119	Tranquillimonas alkanivorans	models/t/tranquillimonas/Tranquillimonas_alkanivorans_DSM_19547.xml.gz
GCF_001701045.1	1197717	Cloacibacillus porcorum	models/c/cloacibacillus/Cloacibacillus_porcorum_CL_84.xml.gz
GCF_000687835.1	1408417	Acholeplasma modicum ATCC 29102	models/a/acholeplasma/Acholeplasma_modicum_ATCC_29102.xml.gz
GCF_000012565.1	269484	Ehrlichia canis str. Jake	models/e/ehrlichia/Ehrlichia_canis_str_Jake.xml.gz
GCF_900096955.1	1219383	Acinetobacter boissieri	models/a/acinetobacter/Acinetobacter_boissieri_ANC_4422.xml.gz
GCF_900116905.1	574650	Micrococcus terreus	models/m/micrococcus/Micrococcus_terreus_CGMCC_1_7054.xml.gz
GCF_000378005.1	1259795	Coprothermobacter platensis DSM 11748	models/c/coprothermobacter/Coprothermobacter_platensis_DSM_11748.xml.gz
GCF_900128905.1	1297750	Bacteroides luti	models/b/bacteroides/Bacteroides_luti_DSM_26991.xml.gz
GCF_001941485.1	1437875	Corynebacterium frankenforstense DSM 45800	models/c/corynebacterium/Corynebacterium_frankenforstense_DSM_45800_ST18.xml.gz
GCF_000006765.1	208964	Pseudomonas aeruginosa PAO1	models/p/pseudomonas/Pseudomonas_aeruginosa_PAO1.xml.gz
GCF_000023205.1	465515	Micrococcus luteus NCTC 2665	models/m/micrococcus/Micrococcus_luteus_NCTC_2665.xml.gz
GCF_000967915.1	61635	Acholeplasma brassicae	models/a/acholeplasma/Acholeplasma_brassicae_O502.xml.gz
GCF_900129355.1	112248	Seinonella peptonophila	models/s/seinonella/Seinonella_peptonophila_DSM_44666.xml.gz
GCF_000190755.2	697282	Methylobacter tundripaludum SV96	models/m/methylobacter/Methylobacter_tundripaludum_SV96.xml.gz
GCF_000500065.1	1417229	Borrelia hispanica CRI	models/b/borrelia/Borrelia_hispanica_CRI.xml.gz
GCF_000507865.1	1357399	Helicobacter canis NCTC 12740	models/h/helicobacter/Helicobacter_canis_NCTC_12740.xml.gz
GCF_000154505.1	411468	[Clostridium] scindens ATCC 35704	models/c/clostridium/Clostridium_scindens_ATCC_35704.xml.gz
GCF_001878855.1	1904463	Arcobacter lekithochrous	models/a/arcobacter/Arcobacter_lekithochrous_LFT_1_7.xml.gz
