iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line
HIS	1	Histidinemia HIS	3034.1	_HISD	EX_hista[u]	hista	u	urine	Increased	blood/urine	Increased (blood/urine)	True	186	220
HIS	1	Histidinemia HIS	3034.1	_HISD	DM_hista[bc]	hista	bc	blood	Increased	blood/urine	Increased (blood/urine)	False	186	220
HIS	1	Histidinemia HIS	3034.1	_HISD	EX_im4ac[u]	im4ac	u	urine	Increased	urine	Increased (urine)	True	186	220
HIS	1	Histidinemia HIS	3034.1	_HISD	EX_his_L[u]	his_L	u	urine	Increased	blood/urine	Increased (blood/urine)	True	186	220
HIS	1	Histidinemia HIS	3034.1	_HISD	DM_his_L[bc]	his_L	bc	blood	Increased	blood/urine	Increased (blood/urine)	False	186	220
AGAT	2	AGAT def	2628.1	_GLYAMDTRc	EX_creat[u]	creat	u	urine	Decreased	urine	Decreased (urine)	False	222	238
AGAT	2	AGAT def	2628.1	_GLYAMDTRc	EX_gudac[u]	gudac	u	urine	Decreased	urine	Decreased (urine)	False	222	238
ARG	3	Arginase def ARG	383.1	_ARGN	EX_argsuc[u]	argsuc	u	urine	Increased	urine	Increased (urine)	True	240	284
ARG	3	Arginase def ARG	383.1	_ARGN	EX_orot[u]	orot	u	urine	Increased	urine	Increased (urine)	True	240	284
ARG	3	Arginase def ARG	383.1	_ARGN	EX_ura[u]	ura	u	urine	Increased	urine	Increased  (urine)	True	240	284
ARG	3	Arginase def ARG	383.1	_ARGN	DM_creat[bc]	creat	bc	blood	Increased	blood	Increased (blood)	False	240	284
ARG	3	Arginase def ARG	383.1	_ARGN	DM_arg_L[bc]	arg_L	bc	blood	Increased	blood	Increased (blood)	False	240	284
ARG	3	Arginase def ARG	383.1	_ARGN	DM_gudac[bc]	gudac	bc	blood	Increased	blood	Increased (blood)	False	240	284
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	EX_lys_L[u]	lys_L	u	urine	Increased	urine	Increased (urine)	True	287	324
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	EX_gly[u]	gly	u	urine	Increased	urine	Increased (urine)	True	287	324
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	EX_ura[u]	ura	u	urine	Increased	urine	Increased (urine)	True	287	324
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	EX_5oxpro[u]	5oxpro	u	urine	Increased	urine	Increased (urine)	True	287	324
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	DM_citr_L[bc]	citr_L	bc	blood	Decreased	blood	Decreased (blood)	False	287	324
CPS1	4	CPS1 'Carbamoyl phosphate synthetase I deficiency	1373.1	_CBPSam;_r0034	DM_gln_L[bc]	gln_L	bc	blood	Increased	blood	Increased (blood)	False	287	324
3MGA	5	3MGA 3-Methylglutaconic Aciduria Type I	549.1	_MGCHrm	EX_3ivcrn[u]	3ivcrn	u	urine	Increased	urine	Increased (urine)	False	326	338
3MGA	5	3MGA 3-Methylglutaconic Aciduria Type I	549.1	_MGCHrm	EX_3mglutac[u]	3mglutac	u	urine	Increased	urine	Increased (urine)	False	326	338
3MGA	5	3MGA 3-Methylglutaconic Aciduria Type I	549.1	_MGCHrm	EX_3mglutr[u]	3mglutr	u	urine	Increased	urine	Increased (urine)	False	326	338
AMA1	6	AMA1 Aminoacylase 1 Deficiency	95.1	_ACODA;_RE2640C	EX_acglu[u]	acglu	u	urine	Increased	urine	Increased (urine)	False	340	354
AMA1	6	AMA1 Aminoacylase 1 Deficiency	95.1	_ACODA;_RE2640C	EX_acgly[u]	acgly	u	urine	Increased	urine	Increased (urine)	False	340	354
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_34dhphe[u]	34dhphe	u	urine	Increased	urine/blood	Increased (urine/blood)	True	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_34dhphe[bc]	34dhphe	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_5htrp[u]	5htrp	u	urine	Increased	urine/blood	Increased (urine/blood)	True	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_5htrp[bc]	5htrp	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_adrnl[bc]	adrnl	bc	blood	Decreased	blood	Decreased (blood)	False	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_dopa[u]	dopa	u	urine	Increased	urine	Increased (urine)	True	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_CE2176[u]	CE2176	u	urine	Increased	urine/blood	Increased (urine/blood)	True	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_CE2176[bc]	CE2176	bc	blood	Increased	urine/blood	Increased (urine/blood)	False	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	DM_nrpphr[bc]	nrpphr	bc	blood	Decreased	blood	Decreased (blood)	False	356	405
AADC	7	Aromatic L-amino acid decarboxylase deficiency	1644.1	_3HLYTCL;_3HXKYNDCL;_5HLTDL;_5HXKYNDCL;_LTDCL;_PHYCBOXL;_TYRCBOX	EX_3moxtyr[u]	3moxtyr	u	urine	Increased	urine	Increased (urine)	True	356	405
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_3ivcrn[u]	3ivcrn	u	urine	Increased	urine	Increased (urine)	False	407	428
3MCC	8	3-methylcrotonyl coA carboxylase deficiency	56922.1	_MCCCrm;_RE2453M;_RE2454M	EX_acac[u]	acac	u	urine	Increased	urine	Increased (urine)	False	407	428
