condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941814045533766	1047	974.0	27.0	29.0	17.0	0.5214302444718868	0.43812114631065013	0.7667669741963383
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846720343546948	1047	975.0	34.0	23.0	15.0	0.6244845616158572	0.5216367640188411	0.8368066631224526
L-Histidine	MOPS minimal media_noCarbon	0.7719618756878955	1047	983.0	28.0	19.0	17.0	0.5908752836964326	0.5109128423865034	0.8050531914893617
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4979432977124993	1047	984.0	30.0	14.0	19.0	0.6297165996040512	0.6313748409893466	0.860452732710958
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120553034382819	1047	987.0	28.0	11.0	21.0	0.6250344085311397	0.48344164526387656	0.9172008547008548
Sodium butyrate	MOPS minimal media_noCarbon	0.6043558491711669	1047	975.0	33.0	22.0	17.0	0.6097769654163188	0.4768405762429538	0.8546279325513195
Vanillin	MOPS minimal media_noCarbon	0.9212894853709203	1047	953.0	36.0	41.0	17.0	0.5358201938348722	0.512985120978059	0.8055964653902797
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.39959998391765134	1047	971.0	36.0	23.0	17.0	0.6237362086436579	0.5509264000966422	0.867649077060317
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612053884988945	1047	960.0	35.0	35.0	17.0	0.5548431427856938	0.4790940571421179	0.8275040210557099
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879655553373417	1047	966.0	40.0	24.0	17.0	0.6416604129825869	0.6476405439449203	0.8311053535096644
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157983324390457	1047	964.0	41.0	27.0	15.0	0.6435926880555157	0.60727628422154	0.8015231628913057
L-Lysine	MOPS minimal media_noCarbon	0.7457808493981705	1047	963.0	33.0	34.0	17.0	0.5453627776732464	0.46407900398491814	0.728084069448675
p-Coumaric acid	MOPS minimal media_noCarbon	1.0074059424220312	1047	961.0	37.0	35.0	14.0	0.5872395538301006	0.4275624807973231	0.828076923076923
benzoic acid	MOPS minimal media_noCarbon	0.7984952110750653	1047	966.0	38.0	28.0	15.0	0.6213344508594338	0.47627699866453804	0.8654202576220925
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	MOPS minimal media_noCarbon	0.9192647942389248	1047	974.0	32.0	24.0	17.0	0.5904623079468224	0.5680891581967853	0.8210321464610063
Phenylacetic acid	MOPS minimal media_noCarbon	1.1193031892248957	1047	958.0	36.0	37.0	16.0	0.5588488097577529	0.5876852110954562	0.8138308345756798
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
Hexanoic acid	MOPS minimal media_noCarbon	1.0006547666604537	1047	977.0	31.0	21.0	18.0	0.5946006366789495	0.5958801739676611	0.8486857363741785
Decanoic acid	MOPS minimal media_noCarbon	1.7932526016390131	1047	972.0	33.0	26.0	16.0	0.5929841999517685	0.527619819956505	0.8533417964729294
Lauric acid	MOPS minimal media_noCarbon	2.1832331663086686	1047	967.0	33.0	30.0	17.0	0.5648629289517757	0.5556876574308015	0.8087575816234354
Octanoic acid	MOPS minimal media_noCarbon	1.3969536841497434	1047	973.0	34.0	25.0	15.0	0.6125942586172612	0.5478497440795644	0.8418736704865162
Myristic acid	MOPS minimal media_noCarbon	2.5471053606934584	1047	968.0	32.0	29.0	18.0	0.5561710602764012	0.536216210442538	0.7652711734778705
Oleic acid	MOPS minimal media_noCarbon	3.274849749463006	1047	971.0	32.0	26.0	18.0	0.5723128134478419	0.5973096313071954	0.7630487082040376
Butanol	MOPS minimal media_noCarbon	0.7277443887695573	1047	971.0	34.0	24.0	18.0	0.5980705045903624	0.609366221974689	0.8017590042188208
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1047							
Ethanol	MOPS minimal media_noCarbon	0.3638721943847787	1047	980.0	32.0	18.0	17.0	0.6289580162278557	0.6396095087209256	0.8543931795386158
L-Valine	MOPS minimal media_noCarbon	0.7770254376414434	1047	964.0	31.0	34.0	18.0	0.5239340980570919	0.4245736332866498	0.8223014256619146
L-Leucine	MOPS minimal media_noCarbon	0.9728525814151553	1047	975.0	28.0	23.0	21.0	0.5380617552974898	0.4412376708868705	0.8303212851405624
L-Isoleucine	MOPS minimal media_noCarbon	0.9990610404134019	1047	948.0	41.0	41.0	17.0	0.5665663960530357	0.5360946276461442	0.7390243902439025
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	RCH2_defined_noCarbon	0.9197612011770032	1047	981.0	30.0	26.0	10.0	0.616965468703977	0.6333073271458276	0.8134279948104368
Potassium acetate	RCH2_defined_noCarbon	0.24775048355706644	1047	980.0	30.0	27.0	10.0	0.6109993223196117	0.5246319832662631	0.8659046606415028
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.7649047922110561	1047	965.0	35.0	31.0	16.0	0.5802952811600116	0.5711518745605245	0.800227041052729
Vanillin	RCH2_defined_noCarbon	0.9218157571925363	1047	943.0	33.0	60.0	11.0	0.4867692939152014	0.4675086744976858	0.7648497554157931
p-Coumaric acid	RCH2_defined_noCarbon	1.0079710711601526	1047	969.0	33.0	36.0	9.0	0.5930799317591533	0.5818063769719963	0.845988559912273
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.7649047922107396	1047	977.0	27.0	19.0	24.0	0.536012043714531	0.4353760185107193	0.8512248620944273
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742982156523538	1047	983.0	29.0	15.0	20.0	0.6071790567112693	0.5832908556141715	0.8747280884618871
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
D-Lysine	MOPS minimal media_noCarbon	0.0	1047							
