condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
L-Arginine	MOPS minimal media_noCarbon	arg__L	high	1	0.894181404553377	True		44	56
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	glu__L	high	3	0.6846720343546772	True		49	57
L-Histidine	MOPS minimal media_noCarbon	his__L	high	1	0.7719618756878956	True		45	47
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	succ	high	1	0.49794329771250273	True		49	44
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	akg	high	1	0.6120553034382881	True		49	39
Sodium butyrate	MOPS minimal media_noCarbon	but	high	3	0.604355849171174	True		50	55
Vanillin	MOPS minimal media_noCarbon	vanln	high	2	0.9212894853709346	True		53	77
1,2-Propanediol	MOPS minimal media_noCarbon	12ppd__S;12ppd__R	high	2	0.0	False	EX_12ppd__S_e;EX_12ppd__R_e	1047	62
Sodium propionate	MOPS minimal media_noCarbon	ppa	high	2	0.39959998391764573	True		53	59
Hydroxy-L-Proline	MOPS minimal media_noCarbon	4hpro_LT	medium	2	0.0	False	EX_4hpro_LT_e	1047	56
Vanillic Acid	MOPS minimal media_noCarbon	vanlt	high	2	0.8612053884989108	True		52	70
Protocatechuic Acid	MOPS minimal media_noCarbon	34dhbz	high	2	0.7879655553373176	True		57	64
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	4hbz	high	2	0.715798332439228	True		56	68
L-Lysine	MOPS minimal media_noCarbon	lys__L	high	3	0.7457808493981989	True		50	67
p-Coumaric acid	MOPS minimal media_noCarbon	T4hcinnm	medium	2	1.0074059424218142	True		51	72
benzoic acid	MOPS minimal media_noCarbon	bz	high	3	0.7984952110750511	True		53	66
Ferulic Acid	MOPS minimal media_noCarbon	fer	medium	3	0.0	False	EX_fer_e	1047	69
D-Glucose	MOPS minimal media_noCarbon	glc__D	high	3	0.9192647942389325	True		49	56
Phenylacetic acid	MOPS minimal media_noCarbon	pac	high	2	1.1193031892249392	True		52	73
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	3mob	high	2	0.0	False	EX_3mob_e	1047	69
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	4mop	high	2	0.0	False	EX_4mop_e	1047	61
Hexanoic acid	MOPS minimal media_noCarbon	hxa	high	2	1.0006547666604575	True		49	52
Decanoic acid	MOPS minimal media_noCarbon	dca	high	2	1.7932526016390185	True		49	59
Lauric acid	MOPS minimal media_noCarbon	ddca	high	2	2.1832331663086713	True		50	63
Octanoic acid	MOPS minimal media_noCarbon	octa	high	2	1.3969536841497223	True		49	59
Myristic acid	MOPS minimal media_noCarbon	ttdca	high	2	2.547105360693467	True		50	61
Oleic acid	MOPS minimal media_noCarbon	ocdcea	high	2	3.2748497494630313	True		50	58
Butanol	MOPS minimal media_noCarbon	btoh	high	2	0.7277443887695586	True		52	58
3-methyl-1-butanol	MOPS minimal media_noCarbon	iamoh	medium	2	0.0	False	EX_iamoh_e	1047	77
Ethanol	MOPS minimal media_noCarbon	etoh	high	2	0.3638721943847815	True		49	50
L-Valine	MOPS minimal media_noCarbon	val__L	high	2	0.7770254376416083	True		49	65
L-Leucine	MOPS minimal media_noCarbon	leu__L	high	2	0.9728525814151653	True		49	51
L-Isoleucine	MOPS minimal media_noCarbon	ile__L	high	2	0.9990610404133841	True		58	82
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	3mop	high	2	0.0	False	EX_3mop_e	1047	16
D-Glucose	RCH2_defined_noCarbon	glc__D	high	6	0.9197612011769987	True		40	56
Potassium acetate	RCH2_defined_noCarbon	ac	high	4	0.24775048355708543	True		40	57
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	galur	high	2	0.7649047922076303	True		51	66
Vanillin	RCH2_defined_noCarbon	vanln	high	2	0.9218157571923793	True		44	93
p-Coumaric acid	RCH2_defined_noCarbon	T4hcinnm	medium	2	1.0079710711601306	True		42	69
D-Glucuronic Acid	MOPS minimal media_noCarbon	glcur	high	1	0.7649047922107393	True		51	46
4-Aminobutyric acid	MOPS minimal media_noCarbon	4abut	high	1	0.67429821565235	True		49	44
5-Aminovaleric acid	MOPS minimal media_noCarbon	5aptn	medium	2	0.0	False	EX_5aptn_e	1047	48
D-Lysine	MOPS minimal media_noCarbon	lys__D	high	2	0.0	False	EX_lys__D_e	1047	61
