condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.894181404553377	1047	974.0	27.0	29.0	17.0	0.5214302444718868	0.43812114631065013	0.8132838402767768
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846720343546772	1047	975.0	34.0	23.0	15.0	0.6244845616158572	0.5216367640188411	0.8492114123693071
L-Histidine	MOPS minimal media_noCarbon	0.7719618756878956	1047	983.0	28.0	19.0	17.0	0.5908752836964326	0.5109128423865034	0.8104893617021276
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.49794329771250273	1047	984.0	30.0	14.0	19.0	0.6297165996040512	0.6313748409893466	0.867635729176108
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120553034382881	1047	987.0	28.0	11.0	21.0	0.6250344085311397	0.48344164526387656	0.9140847578347578
Sodium butyrate	MOPS minimal media_noCarbon	0.604355849171174	1047	975.0	33.0	22.0	17.0	0.6097769654163188	0.4768405762429538	0.8677877565982404
Vanillin	MOPS minimal media_noCarbon	0.9212894853709346	1047	953.0	36.0	41.0	17.0	0.5358201938348722	0.512985120978059	0.8058642388539297
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.39959998391764573	1047	971.0	36.0	23.0	17.0	0.6237362086436579	0.5509264000966422	0.8108059424963975
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612053884989108	1047	960.0	35.0	35.0	17.0	0.5548431427856938	0.4790940571421179	0.7912487205731833
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879655553373176	1047	966.0	40.0	24.0	17.0	0.6416604129825869	0.6476405439449203	0.871510999491353
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.715798332439228	1047	964.0	41.0	27.0	15.0	0.6435926880555157	0.60727628422154	0.8305894370005409
L-Lysine	MOPS minimal media_noCarbon	0.7457808493981989	1047	963.0	33.0	34.0	17.0	0.5453627776732464	0.46407900398491814	0.7640496497106304
