condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941814045533775	1047	974.0	27.0	29.0	17.0	0.5214302444718868	0.43812114631065013	0.7455492287732448
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846720343546826	1047	975.0	34.0	23.0	15.0	0.6244845616158572	0.5216367640188411	0.8397129186602871
L-Histidine	MOPS minimal media_noCarbon	0.7719618757196405	1047	983.0	28.0	19.0	17.0	0.5908752836964326	0.5109128423865034	0.8338510638297872
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4979432977125046	1047	984.0	30.0	14.0	19.0	0.6297165996040512	0.6313748409893466	0.8936032810658933
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120553034382764	1047	987.0	28.0	11.0	21.0	0.6250344085311397	0.48344164526387656	0.9287876475376475
Sodium butyrate	MOPS minimal media_noCarbon	0.6043558491711697	1047	975.0	33.0	22.0	17.0	0.6097769654163188	0.4768405762429538	0.8316165689149561
Vanillin	MOPS minimal media_noCarbon	0.9212894853709335	1047	953.0	36.0	41.0	17.0	0.5358201938348722	0.512985120978059	0.8063328424153167
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.399599983917652	1047	971.0	36.0	23.0	17.0	0.6237362086436579	0.5509264000966422	0.8259195086804365
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612053884988923	1047	960.0	35.0	35.0	17.0	0.5548431427856938	0.4790940571421179	0.8076326948384266
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879655553373422	1047	966.0	40.0	24.0	17.0	0.6416604129825869	0.6476405439449203	0.8516578713123093
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157983324390527	1047	964.0	41.0	27.0	15.0	0.6435926880555157	0.60727628422154	0.8479991588055038
L-Lysine	MOPS minimal media_noCarbon	0.7457808493981587	1047	963.0	33.0	34.0	17.0	0.5453627776732464	0.46407900398491814	0.7816021931160522
p-Coumaric acid	MOPS minimal media_noCarbon	1.007405942425047	1047	961.0	37.0	35.0	14.0	0.5872395538301006	0.4275624807973231	0.8239529914529914
benzoic acid	MOPS minimal media_noCarbon	0.7984952110750645	1047	966.0	38.0	28.0	15.0	0.6213344508594338	0.47627699866453804	0.8507089241034195
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	MOPS minimal media_noCarbon	0.9192647942389225	1047	974.0	32.0	24.0	17.0	0.5904623079468224	0.5680891581967853	0.8128874153092115
Phenylacetic acid	MOPS minimal media_noCarbon	1.1193031892249443	1047	958.0	36.0	37.0	16.0	0.5588488097577529	0.5876852110954562	0.8137956738207082
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
Hexanoic acid	MOPS minimal media_noCarbon	1.0006547666604564	1047	977.0	31.0	21.0	18.0	0.5946006366789495	0.5958801739676611	0.8790877464244299
Decanoic acid	MOPS minimal media_noCarbon	1.7932526016390151	1047	972.0	33.0	26.0	16.0	0.5929841999517685	0.527619819956505	0.8286643107115899
Lauric acid	MOPS minimal media_noCarbon	2.1832331663086864	1047	967.0	33.0	30.0	17.0	0.5648629289517757	0.5556876574308015	0.8017002193831462
Octanoic acid	MOPS minimal media_noCarbon	1.396953684149726	1047	973.0	34.0	25.0	15.0	0.6125942586172612	0.5478497440795644	0.8639435943182597
Myristic acid	MOPS minimal media_noCarbon	2.5471053606934286	1047	968.0	32.0	29.0	18.0	0.5561710602764012	0.536216210442538	0.7810826987663353
Oleic acid	MOPS minimal media_noCarbon	3.2748497494629953	1047	971.0	32.0	26.0	18.0	0.5723128134478419	0.5973096313071954	0.7726369373452808
Butanol	MOPS minimal media_noCarbon	0.7277443887695603	1047	971.0	34.0	24.0	18.0	0.5980705045903624	0.609366221974689	0.7816498727380494
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1047							
Ethanol	MOPS minimal media_noCarbon	0.3638721943847786	1047	980.0	32.0	18.0	17.0	0.6289580162278557	0.6396095087209256	0.7943630892678034
L-Valine	MOPS minimal media_noCarbon	0.7770254376414598	1047	964.0	31.0	34.0	18.0	0.5239340980570919	0.4245736332866498	0.8146717844273852
L-Leucine	MOPS minimal media_noCarbon	0.9728525814151463	1047	975.0	28.0	23.0	21.0	0.5380617552974898	0.4412376708868705	0.8188735333490826
L-Isoleucine	MOPS minimal media_noCarbon	0.9990610404135544	1047	948.0	41.0	41.0	17.0	0.5665663960530357	0.5360946276461442	0.7686654871730065
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	RCH2_defined_noCarbon	0.9197612011769937	1047	981.0	30.0	26.0	10.0	0.616965468703977	0.6333073271458276	0.8554039930805825
Potassium acetate	RCH2_defined_noCarbon	0.24775048355706317	1047	980.0	30.0	27.0	10.0	0.6109993223196117	0.5246319832662631	0.8816498316498316
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.7649047922124831	1047	965.0	35.0	31.0	16.0	0.5802952811600116	0.5711518745605245	0.807324004571711
Vanillin	RCH2_defined_noCarbon	0.9218157571924925	1047	943.0	33.0	60.0	11.0	0.4867692939152014	0.4675086744976858	0.7057156060503595
p-Coumaric acid	RCH2_defined_noCarbon	1.0079710711601215	1047	969.0	33.0	36.0	9.0	0.5930799317591533	0.5818063769719963	0.8156249073827095
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.7649047922107209	1047	977.0	27.0	19.0	24.0	0.536012043714531	0.4353760185107193	0.8729096989966556
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742982156523527	1047	983.0	29.0	15.0	20.0	0.6071790567112693	0.5832908556141715	0.8719976434333365
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
D-Lysine	MOPS minimal media_noCarbon	0.0	1047							
