condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
L-Arginine	MOPS minimal media_noCarbon	arg__L	high	1	0.894180360541843	True		45	56
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	glu__L	high	3	0.6846712089531481	True		50	57
L-Histidine	MOPS minimal media_noCarbon	his__L	high	1	0.7719609398427776	True		46	47
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	succ	high	1	0.49794269742047964	True		50	44
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	akg	high	1	0.6120545655793379	True		50	39
Sodium butyrate	MOPS minimal media_noCarbon	but	high	3	0.6043551533467458	True		51	55
Vanillin	MOPS minimal media_noCarbon	vanln	high	2	0.9212884132384639	True		54	77
1,2-Propanediol	MOPS minimal media_noCarbon	12ppd__S;12ppd__R	high	2	0.0	False	EX_12ppd__S_e;EX_12ppd__R_e	1047	62
Sodium propionate	MOPS minimal media_noCarbon	ppa	high	2	0.3995995081112354	True		54	59
Hydroxy-L-Proline	MOPS minimal media_noCarbon	4hpro_LT	medium	2	0.0	False	EX_4hpro_LT_e	1047	56
Vanillic Acid	MOPS minimal media_noCarbon	vanlt	high	2	0.8612043862881382	True		53	70
Protocatechuic Acid	MOPS minimal media_noCarbon	34dhbz	high	2	0.7879646419995736	True		58	64
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	4hbz	high	2	0.7157974695072165	True		57	68
L-Lysine	MOPS minimal media_noCarbon	lys__L	high	3	0.7457808493981765	True		51	67
p-Coumaric acid	MOPS minimal media_noCarbon	T4hcinnm	medium	2	1.007404774720029	True		52	72
benzoic acid	MOPS minimal media_noCarbon	bz	high	3	0.7984942611396715	True		54	66
Ferulic Acid	MOPS minimal media_noCarbon	fer	medium	3	0.0	False	EX_fer_e	1047	69
D-Glucose	MOPS minimal media_noCarbon	glc__D	high	3	0.9192636654674673	True		50	56
Phenylacetic acid	MOPS minimal media_noCarbon	pac	high	2	1.1193018775791648	True		53	73
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	3mob	high	2	0.0	False	EX_3mob_e	1047	69
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	4mop	high	2	0.0	False	EX_4mop_e	1047	61
Hexanoic acid	MOPS minimal media_noCarbon	hxa	high	2	1.00065361455772	True		50	52
Decanoic acid	MOPS minimal media_noCarbon	dca	high	2	1.7932505369796528	True		50	59
Lauric acid	MOPS minimal media_noCarbon	ddca	high	2	2.183233166308677	True		51	63
Octanoic acid	MOPS minimal media_noCarbon	octa	high	2	1.3969520757686729	True		50	59
Myristic acid	MOPS minimal media_noCarbon	ttdca	high	2	2.547105360693481	True		51	61
Oleic acid	MOPS minimal media_noCarbon	ocdcea	high	2	3.274849749463001	True		51	58
Butanol	MOPS minimal media_noCarbon	btoh	high	2	0.7277443887695582	True		53	58
3-methyl-1-butanol	MOPS minimal media_noCarbon	iamoh	medium	2	0.0	False	EX_iamoh_e	1047	77
Ethanol	MOPS minimal media_noCarbon	etoh	high	2	0.3638721943847804	True		50	50
L-Valine	MOPS minimal media_noCarbon	val__L	high	2	0.7770245021211054	True		50	65
L-Leucine	MOPS minimal media_noCarbon	leu__L	high	2	0.972851447537006	True		50	51
L-Isoleucine	MOPS minimal media_noCarbon	ile__L	high	2	0.9990598446194443	True		59	82
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	3mop	high	2	0.0	False	EX_3mop_e	1047	16
D-Glucose	RCH2_defined_noCarbon	glc__D	high	6	0.9197600713305047	True		41	56
Potassium acetate	RCH2_defined_noCarbon	ac	high	4	0.24775019823652605	True		41	57
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	galur	high	2	0.7649038478751046	True		52	66
Vanillin	RCH2_defined_noCarbon	vanln	high	2	0.92181468397135	True		45	93
p-Coumaric acid	RCH2_defined_noCarbon	T4hcinnm	medium	2	1.007969902283956	True		43	69
D-Glucuronic Acid	MOPS minimal media_noCarbon	glcur	high	1	0.7649038478753267	True		52	46
4-Aminobutyric acid	MOPS minimal media_noCarbon	4abut	high	1	0.674297402752817	True		50	44
5-Aminovaleric acid	MOPS minimal media_noCarbon	5aptn	medium	2	0.0	False	EX_5aptn_e	1047	48
D-Lysine	MOPS minimal media_noCarbon	lys__D	high	2	0.0	False	EX_lys__D_e	1047	61
