condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.0	1047							
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.0	1047							
L-Histidine	MOPS minimal media_noCarbon	0.0	1047							
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.0	1047							
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.0	1047							
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1047							
Vanillin	MOPS minimal media_noCarbon	0.0	1047							
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.0	1047							
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.0	1047							
Protocatechuic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.0	1047							
L-Lysine	MOPS minimal media_noCarbon	0.0	1047							
p-Coumaric acid	MOPS minimal media_noCarbon	0.0	1047							
benzoic acid	MOPS minimal media_noCarbon	0.7985011218348157	1047	964.0	38.0	28.0	17.0	0.6083264856661195	0.4584760166508362	0.8616285175918204
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	MOPS minimal media_noCarbon	0.0	1047							
Phenylacetic acid	MOPS minimal media_noCarbon	0.0	1047							
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1047							
Decanoic acid	MOPS minimal media_noCarbon	0.0	1047							
Lauric acid	MOPS minimal media_noCarbon	0.0	1047							
Octanoic acid	MOPS minimal media_noCarbon	0.0	1047							
Myristic acid	MOPS minimal media_noCarbon	0.0	1047							
Oleic acid	MOPS minimal media_noCarbon	0.0	1047							
Butanol	MOPS minimal media_noCarbon	0.0	1047							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1047							
Ethanol	MOPS minimal media_noCarbon	0.0	1047							
L-Valine	MOPS minimal media_noCarbon	0.0	1047							
L-Leucine	MOPS minimal media_noCarbon	0.0	1047							
L-Isoleucine	MOPS minimal media_noCarbon	0.0	1047							
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	RCH2_defined_noCarbon	0.0	1047							
Potassium acetate	RCH2_defined_noCarbon	0.0	1047							
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1047							
Vanillin	RCH2_defined_noCarbon	0.0	1047							
p-Coumaric acid	RCH2_defined_noCarbon	0.0	1047							
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.0	1047							
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
D-Lysine	MOPS minimal media_noCarbon	0.0	1047							
