group	source_reaction	source_equation	source_gpr	source_lower_bound	source_upper_bound	source_imbalance	draft_equivalents	draft_gprs_browser	status
aromatic_precursor	DDPA	e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c	PP_3080 or PP_2324 or PP_1866	0.0	999999.0	{}	DDPA	PP_1866,PP_2324,PP_3080	represented_by_equivalent_reaction
aromatic_precursor	DHQS	2dda7p_c --> 3dhq_c + pi_c	PP_5078	0.0	999999.0	{}	DHQS	PP_5078	represented_by_equivalent_reaction
aromatic_precursor	DHQTi_copy1	3dhq_c <=> 3dhsk_c + h2o_c	PP_0560 or PP_3003 or PP_2407	-999999.0	999999.0	{}	DHQTi	PP_0560,PP_2407,PP_3003	represented_by_equivalent_reaction
aromatic_precursor	DHQTi_copy2	3dhq_c --> 3dhsk_c + h2o_c	PP_0560 or PP_2407 or PP_3003	0.0	1000.0	{}	DHQTi	PP_0560,PP_2407,PP_3003	represented_by_equivalent_reaction
aromatic_precursor	SHK3Dr	3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c	PP_3002 or PP_0074 or PP_2406 or PP_3768	-999999.0	999999.0	{}	SHK3Dr	PP_0074,PP_2406,PP_3768	represented_by_equivalent_reaction
aromatic_precursor	SHKK	atp_c + skm_c --> adp_c + h_c + skm5p_c	PP_5079	0.0	999999.0	{}	SHKK	PP_5079	represented_by_equivalent_reaction
aromatic_precursor	PSCVT_copy1	pep_c + skm5p_c <=> 3psme_c + pi_c	PP_1770	-999999.0	999999.0	{}	PSCVT	PP_1770	represented_by_equivalent_reaction
aromatic_precursor	PSCVT_copy2	pep_c + skm5p_c --> 3psme_c + pi_c	PP_1770	0.0	1000.0	{}	PSCVT	PP_1770	represented_by_equivalent_reaction
aromatic_precursor	CHORS	3psme_c --> chor_c + pi_c	PP_1830	0.0	999999.0	{}	CHORS	PP_1830	represented_by_equivalent_reaction
aromatic_precursor	CHRPL	chor_c --> 4hbz_c + pyr_c	PP_5317	0.0	999999.0	{}	CHRPL	PP_5317	represented_by_equivalent_reaction
MEP_isoprenoid_precursor	DXPS	g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c	PP_0527	0.0	999999.0	{}	DXPS	PP_0527	represented_by_equivalent_reaction
MEP_isoprenoid_precursor	DXPRIi	dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c	PP_1597	0.0	999999.0	{}	DXPRIi	PP_1597	represented_by_equivalent_reaction
MEP_isoprenoid_precursor	MEPCT	2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c	PP_1614	0.0	999999.0	{}	MEPCT	PP_1614	represented_by_equivalent_reaction
MEP_isoprenoid_precursor	MEPCT_1	2me4p_c + ctp_c --> 4c2me_c + ppi_c	PP_1614	0.0	1000.0	"{""charge"": 1.0, ""H"": 1.0}"			no_exact_stoichiometric_match
MEP_isoprenoid_precursor	CDPMEK	4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c	PP_0723	0.0	999999.0	{}	CDPMEK	PP_0723	represented_by_equivalent_reaction
MEP_isoprenoid_precursor	MECDPS_copy1	2p4c2me_c --> 2mecdp_c + cmp_c	PP_1618	0.0	999999.0	{}	MECDPS	PP_1618	represented_by_equivalent_reaction
MEP_isoprenoid_precursor	MECDPS_copy2	2p4c2me_c --> 2mecdp_c + cmp_c	PP_1618	0.0	1000.0	{}	MECDPS	PP_1618	represented_by_equivalent_reaction
