condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8940387860705943	1047	973.0	27.0	29.0	18.0	0.5147417667530633	0.4294823960392181	0.7967150785642209
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6845646097776781	1047	974.0	34.0	23.0	16.0	0.6174434320575473	0.5123502213986316	0.8633616870458976
L-Histidine	MOPS minimal media_noCarbon	0.7718402295124936	1047	982.0	28.0	19.0	18.0	0.5836989742557638	0.5011308939678537	0.8208404255319149
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4978651707473914	1047	983.0	30.0	14.0	20.0	0.6227620949104706	0.6202672949024584	0.8946116196863954
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6119592723770176	1047	986.0	28.0	11.0	22.0	0.6181817387334623	0.4751868793082933	0.9242216117216117
Sodium butyrate	MOPS minimal media_noCarbon	0.604260946039648	1047	974.0	33.0	22.0	18.0	0.6030274389175961	0.4684885280148664	0.8703354105571848
Vanillin	MOPS minimal media_noCarbon	0.9211437234450928	1047	952.0	36.0	41.0	18.0	0.5298862206600335	0.50444383044665	0.8146003481055026
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.39953805841132467	1047	970.0	36.0	23.0	18.0	0.6171896516816266	0.5416977560911866	0.8660965484114458
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.8610691327856432	1047	959.0	35.0	35.0	18.0	0.5486940350277991	0.47101741323495394	0.7778257055125017
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7878407875631078	1047	965.0	40.0	24.0	18.0	0.6353609441184386	0.6374505712013977	0.8685068031536115
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7156923292781493	1047	963.0	41.0	27.0	16.0	0.6371348080552174	0.5975993369640957	0.830176350417593
L-Lysine	MOPS minimal media_noCarbon	0.7456417093107952	1047	962.0	33.0	34.0	18.0	0.5391004875827758	0.4559516213702083	0.7763935424916235
p-Coumaric acid	MOPS minimal media_noCarbon	1.00725546685244	1047	960.0	37.0	35.0	15.0	0.580663101665597	0.4203065862997983	0.8111253561253562
benzoic acid	MOPS minimal media_noCarbon	0.7983695337004486	1047	965.0	38.0	28.0	16.0	0.6147442151127306	0.46853863919367655	0.8529175547524173
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	MOPS minimal media_noCarbon	0.9191244816808296	1047	973.0	32.0	24.0	18.0	0.5837562391644043	0.5579463272281061	0.8568094997837682
Phenylacetic acid	MOPS minimal media_noCarbon	1.1191252914772947	1047	957.0	36.0	37.0	17.0	0.5526371677001088	0.5775646288298866	0.8207856319090883
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
Hexanoic acid	MOPS minimal media_noCarbon	1.0004976319672692	1047	976.0	31.0	21.0	19.0	0.5878958231029876	0.5868979927468216	0.8791843834557403
Decanoic acid	MOPS minimal media_noCarbon	1.79297100382252	1047	971.0	33.0	26.0	17.0	0.586224232149101	0.519421039016994	0.8231661291429355
Lauric acid	MOPS minimal media_noCarbon	2.1828356904438406	1047	966.0	33.0	30.0	18.0	0.5584556575645917	0.5462510498280826	0.751282423538521
Octanoic acid	MOPS minimal media_noCarbon	1.3967343178948852	1047	972.0	34.0	25.0	16.0	0.6056469330465444	0.5387462799560372	0.8027516640362313
Myristic acid	MOPS minimal media_noCarbon	2.546641638851145	1047	967.0	32.0	29.0	19.0	0.5498641909343611	0.5268179839316858	0.8280351145545838
Oleic acid	MOPS minimal media_noCarbon	3.2742535356657667	1047	970.0	32.0	26.0	19.0	0.5658840428211735	0.5870132649826154	0.8052630661413479
Butanol	MOPS minimal media_noCarbon	0.7276118968146158	1047	970.0	34.0	24.0	19.0	0.591644297284939	0.5990945426614269	0.8125762700045326
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1047							
Ethanol	MOPS minimal media_noCarbon	0.36380594840731034	1047	979.0	32.0	18.0	18.0	0.6219458375125376	0.6286386312709958	0.8011634904714142
L-Valine	MOPS minimal media_noCarbon	0.7769047473183617	1047	963.0	31.0	34.0	19.0	0.5177760369769682	0.41704285482863307	0.8245339182202727
L-Leucine	MOPS minimal media_noCarbon	0.9726986709951262	1047	974.0	28.0	23.0	22.0	0.5319075257684347	0.4333903833162563	0.8274076698952674
