condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8942890668307779	1047	975.0	27.0	29.0	16.0	0.5283398752881044	0.44331218270362854	0.7738035173706214
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6847530594922159	1047	976.0	34.0	23.0	14.0	0.6317359667556303	0.5244597204844733	0.8710349105085946
L-Histidine	MOPS minimal media_noCarbon	0.7720536255257385	1047	984.0	28.0	19.0	16.0	0.598286077842094	0.521376166420889	0.8247446808510638
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4980022250851868	1047	985.0	30.0	14.0	18.0	0.6368802877253864	0.6378598933210262	0.9219047403244811
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6121277350006173	1047	988.0	28.0	11.0	20.0	0.632093724008841	0.48814520857019217	0.9328194953194954
Sodium butyrate	MOPS minimal media_noCarbon	0.6044274890039184	1047	976.0	33.0	22.0	16.0	0.6167238604729224	0.4774962182173096	0.8435025659824046
Vanillin	MOPS minimal media_noCarbon	0.9213995113399093	1047	954.0	36.0	41.0	16.0	0.541914518620114	0.5204434229904689	0.7853193198554023
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.3996466911591119	1047	972.0	36.0	23.0	16.0	0.6304629195484615	0.5546228741878138	0.8071347697797296
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.8613082388612152	1047	961.0	35.0	35.0	16.0	0.5611626968932868	0.4875027377897074	0.8011697616610616
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7880597419759583	1047	967.0	40.0	24.0	16.0	0.648120603643496	0.6551455382079462	0.8454428407934893
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7158781985566239	1047	964.0	41.0	27.0	15.0	0.6435926880555157	0.60727628422154	0.8710043261431233
L-Lysine	MOPS minimal media_noCarbon	0.745887691809129	1047	964.0	33.0	34.0	16.0	0.5518059174247536	0.47241311154272575	0.7690679256777337
p-Coumaric acid	MOPS minimal media_noCarbon	1.0075194169565933	1047	961.0	37.0	35.0	14.0	0.5872395538301006	0.4275624807973231	0.8602564102564103
benzoic acid	MOPS minimal media_noCarbon	0.7985900312737387	1047	967.0	38.0	28.0	14.0	0.6281053885111924	0.480223622904899	0.8603234176628671
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	MOPS minimal media_noCarbon	0.9193705347896756	1047	975.0	32.0	24.0	16.0	0.5973681477722269	0.578857444526173	0.8394568977944357
Phenylacetic acid	MOPS minimal media_noCarbon	1.119437467000783	1047	959.0	36.0	37.0	15.0	0.565232462405182	0.5960134064558817	0.8200120952997103
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1047							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
Hexanoic acid	MOPS minimal media_noCarbon	1.0007733834327106	1047	978.0	31.0	21.0	17.0	0.6015056756787722	0.6049040693088109	0.8466660224197913
Decanoic acid	MOPS minimal media_noCarbon	1.7934651722903368	1047	973.0	33.0	26.0	15.0	0.599945287031709	0.5299468384202326	0.829101763535305
Lauric acid	MOPS minimal media_noCarbon	2.1835383762718568	1047	968.0	33.0	30.0	16.0	0.5714560024378844	0.5575812123783609	0.7844721899599948
Octanoic acid	MOPS minimal media_noCarbon	1.3971192778615202	1047	974.0	34.0	25.0	14.0	0.6197486451300791	0.5496635849854478	0.8413418650929801
Myristic acid	MOPS minimal media_noCarbon	2.547461438983812	1047	969.0	32.0	29.0	17.0	0.5626608379619165	0.5406618389125174	0.8076513816380142
Oleic acid	MOPS minimal media_noCarbon	3.2753075644077185	1047	972.0	32.0	26.0	17.0	0.5789286281649682	0.6012076868228944	0.8376538474948573
Butanol	MOPS minimal media_noCarbon	0.7278461254239427	1047	972.0	34.0	24.0	17.0	0.6046767222445854	0.6201060195470165	0.793713608312123
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1047							
Ethanol	MOPS minimal media_noCarbon	0.3639230627119275	1047	981.0	32.0	18.0	16.0	0.6361804208989434	0.651821306010266	0.8122567703109328
L-Valine	MOPS minimal media_noCarbon	0.7771164537507304	1047	965.0	31.0	34.0	17.0	0.5302734898605957	0.4322691328617425	0.8350853830487232
L-Leucine	MOPS minimal media_noCarbon	0.9729687549365756	1047	976.0	28.0	23.0	20.0	0.5443988756294647	0.4491886424313744	0.8111563902669501
L-Isoleucine	MOPS minimal media_noCarbon	0.9991784248388331	1047	949.0	41.0	41.0	16.0	0.5724530748551713	0.5444697354132179	0.7846265638822192
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1047							
D-Glucose	RCH2_defined_noCarbon	0.919867042460415	1047	982.0	30.0	26.0	9.0	0.6257141404162544	0.645171597880275	0.8440968718466196
Potassium acetate	RCH2_defined_noCarbon	0.2477800732811224	1047	981.0	30.0	27.0	9.0	0.6196862550797291	0.5318067290199697	0.8871433634591529
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.7649934520827145	1047	966.0	35.0	31.0	15.0	0.5869372446780317	0.5775325104775209	0.8229157013560684
Vanillin	RCH2_defined_noCarbon	0.921925894897786	1047	944.0	33.0	60.0	10.0	0.49365427184671906	0.47418918854610853	0.748128987173418
p-Coumaric acid	RCH2_defined_noCarbon	1.008084659890276	1047	969.0	33.0	36.0	9.0	0.5930799317591533	0.5818063769719963	0.8111866868201891
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.7649934520827553	1047	978.0	27.0	19.0	23.0	0.5420342012206815	0.4430387690590165	0.8831060244103722
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6743780131362729	1047	984.0	29.0	15.0	19.0	0.6141205887272131	0.5940461072210373	0.8251495513459621
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1047							
D-Lysine	MOPS minimal media_noCarbon	0.0	1047							
