gene	classification	growth_ratio
Q0045	TP	0.195748
Q0080	TP	0.377022
Q0085	TP	0.377022
Q0105	TP	0.196833
Q0130	TP	0.377022
Q0250	TP	0.195748
Q0275	TP	0.195748
YAL012W	TP	1
YAL022C	TP	1
YAL023C	TP	1
YAL026C	TP	1
YAL035W	TP	1
YAL038W	FP	1
YAL039C	TP	1
YAL044C	TP	1
YAL054C	TP	1
YAL060W	TP	1
YAL062W	TP	1
YAR015W	TP	1
YAR035W	TP	1
YAR071W	TP	1
YBL011W	TP	1
YBL013W	TP	1
YBL015W	TP	1
YBL030C	FP	1
YBL033C	TP	1
YBL039C	TP	1
YBL042C	TP	1
YBL045C	TP	0.196833
YBL064C	TP	1
YBL068W	TP	1
YBL076C	TN	0
YBL080C	TP	1
YBL091C	TP	1
YBL098W	TP	0.999785
YBL099W	TP	0.377022
YBR001C	TP	1
YBR002C	FP	1
YBR003W	TP	1
YBR004C	FP	1
YBR006W	TP	1
YBR011C	FP	1
YBR018C	TP	1
YBR019C	TP	1
YBR020W	TP	1
YBR021W	TP	0.993362
YBR022W	TP	1
YBR023C	TP	1
YBR026C	TP	1
YBR029C	TN	6.05483e-16
YBR034C	TP	1
YBR035C	TP	1
YBR036C	TP	1
YBR038W	FP	1
YBR039W	TP	0.377022
YBR041W	TP	0.926812
YBR042C	TP	1
YBR046C	TP	1
YBR058C-A	TP	1
YBR068C	TP	1
YBR069C	TP	1
YBR070C	FP	1
YBR084W	TP	1
YBR085W	TP	1
YBR092C	TP	1
YBR093C	TP	1
YBR097W	TP	1
YBR110W	FP	1
YBR111C	TP	1
YBR115C	TP	0.539427
YBR117C	TP	1
YBR121C	TP	1
YBR126C	FN	-7.32375e-17
YBR127C	TP	1
YBR128C	TP	1
YBR132C	TP	1
YBR145W	TP	1
YBR147W	TP	1
YBR149W	TP	1
YBR153W	FP	1
YBR159W	TP	0.9952
YBR161W	TP	1
YBR166C	TP	1
YBR176W	TP	1
YBR177C	TP	1
YBR180W	TP	1
YBR183W	TP	1
YBR192W	FP	1
YBR196C	FP	1
YBR199W	TP	1
YBR204C	TP	1
YBR205W	TP	1
YBR208C	TP	1
YBR213W	TP	1
YBR218C	TP	1
YBR221C	TP	0.980143
YBR222C	TP	1
YBR229C	TP	1
YBR235W	TP	1
YBR243C	FP	1
YBR244W	TP	1
YBR248C	TP	1
YBR249C	TP	1
YBR252W	FP	1
YBR256C	FP	1
YBR263W	TP	1
YBR265W	FP	1
YBR281C	TP	1
YBR291C	TP	1
YBR293W	TP	1
YBR294W	TP	1
YBR295W	TP	1
YBR296C	TP	1
