NP_384109.1	SMc02791		aroE	NC_003047.1:1939..2799	shikimate 5-dehydrogenase [Sinorhizobium meliloti 1021].
NP_384110.1	SMc02790		coaE	NC_003047.1:2796..3380	dephospho-CoA kinase [Sinorhizobium meliloti 1021].
NP_384115.1	SMc02785			NC_003047.1:6511..7629	lytic murein transglycosylase A protein [Sinorhizobium meliloti 1021].
NP_384120.1	SMc02780		gabD1	NC_003047.1:11996..13450	succinate-semialdehyde dehydrogenase [NADP+] protein [Sinorhizobium meliloti 1021].
NP_384122.1	SMc02778			NC_003047.1:14893..15693	hydroxyacid aldolase [Sinorhizobium meliloti 1021].
NP_384124.1	SMc02776			NC_003047.1:16752..18257	altronate hydrolase [Sinorhizobium meliloti 1021].
NP_384133.1	SMc02767		trpF	NC_003047.1:27376..28023	N-(5'-phosphoribosyl)anthranilate isomerase [Sinorhizobium meliloti 1021].
NP_384134.1	SMc02766		trpB	NC_003047.1:28048..29268	tryptophan synthase subunit beta [Sinorhizobium meliloti 1021].
NP_384135.1	SMc02765		trpA	NC_003047.1:29274..30113	tryptophan synthase subunit alpha [Sinorhizobium meliloti 1021].
NP_384136.1	SMc02764		accD	NC_003047.1:30167..31081	acetyl-CoA carboxylase subunit beta [Sinorhizobium meliloti 1021].
NP_384137.1	SMc02763		folC	NC_003047.1:31097..32440	bifunctional folylpolyglutamate synthase/dihydrofolate synthase [Sinorhizobium meliloti 1021].
NP_384139.1	SMc02761		trxA	complement(NC_003047.1:34091..34414)	thioredoxin [Sinorhizobium meliloti 1021].
NP_384142.1	SMc02758			complement(NC_003047.1:41236..41967)	nucleotidyl transferase [Sinorhizobium meliloti 1021].
NP_384144.1	SMc02756			complement(NC_003047.1:43498..45978)	sensor histidine kinase [Sinorhizobium meliloti 1021].
NP_384145.1	SMc02755		ahcY	complement(NC_003047.1:46280..47680)	S-adenosyl-L-homocysteine hydrolase [Sinorhizobium meliloti 1021].
NP_384146.1	SMc02754			complement(NC_003047.1:47837..48127)	phosphocarrier HPr [Sinorhizobium meliloti 1021].
NP_384148.1	SMc02752			complement(NC_003047.1:48809..49255)	hypothetical protein SMc02752 [Sinorhizobium meliloti 1021].
NP_384151.1	SMc02562		pckA	NC_003047.1:52483..54093	phosphoenolpyruvate carboxykinase [Sinorhizobium meliloti 1021].
NP_384155.1	SMc02567		coaA	complement(NC_003047.1:56529..57524)	pantothenate kinase [Sinorhizobium meliloti 1021].
NP_384156.1	SMc02568		hisE	complement(NC_003047.1:57521..57844)	phosphoribosyl-ATP pyrophosphatase [Sinorhizobium meliloti 1021].
NP_384157.1	SMc02569		hisF	complement(NC_003047.1:57909..58685)	imidazole glycerol phosphate synthase subunit HisF [Sinorhizobium meliloti 1021].
NP_384158.1	SMc02570		hisA	complement(NC_003047.1:58682..59425)	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Sinorhizobium meliloti 1021].
NP_384159.1	SMc02572		hisH	complement(NC_003047.1:59458..60108)	imidazole glycerol phosphate synthase subunit HisH [Sinorhizobium meliloti 1021].
NP_384161.1	SMc02574		hisB	complement(NC_003047.1:60608..61216)	imidazoleglycerol-phosphate dehydratase [Sinorhizobium meliloti 1021].
NP_384167.1	SMc02580			NC_003047.1:66749..68755	hypothetical protein SMc02580 [Sinorhizobium meliloti 1021].
NP_384168.1	SMc02581		glcB	NC_003047.1:68916..71087	malate synthase G [Sinorhizobium meliloti 1021].
NP_384175.1	SMc02588			complement(NC_003047.1:78132..79820)	ABC transporter permease [Sinorhizobium meliloti 1021].
NP_384182.1	SMc02595		metB	complement(NC_003047.1:91920..93146)	cystathionine gamma-synthase [Sinorhizobium meliloti 1021].
NP_384187.1	SMc02604		folD1	complement(NC_003047.1:96439..97359)	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [Sinorhizobium meliloti 1021].
NP_384193.1	SMc02610		glxB	NC_003047.1:103542..104504	amidotransferase [Sinorhizobium meliloti 1021].
NP_384196.1	SMc02613		glnT	NC_003047.1:106653..107960	glutamine synthetase [Sinorhizobium meliloti 1021].
NP_384199.1	SMc02616			complement(NC_003047.1:109201..110598)	permease transmembrane protein [Sinorhizobium meliloti 1021].
NP_384204.3	SMc04154		purU	NC_003047.1:112737..113627	formyltetrahydrofolate deformylase [Sinorhizobium meliloti 1021].
NP_384210.1	SMc04148			complement(NC_003047.1:119188..121557)	aminomethyltransferase [Sinorhizobium meliloti 1021].
NP_384221.1	SMc04137			complement(NC_003047.1:134700..135587)	ABC transporter permease [Sinorhizobium meliloti 1021].
NP_384222.1	SMc04136			complement(NC_003047.1:135580..136527)	ABC transporter permease [Sinorhizobium meliloti 1021].
NP_384229.1	SMc04129			NC_003047.1:143458..144759	oxidoreductase [Sinorhizobium meliloti 1021].
NP_384230.1	SMc04128			NC_003047.1:144857..147088	heavy metal transporting ATPase [Sinorhizobium meliloti 1021].
NP_384234.1	SMc04124		cdd	NC_003047.1:151452..151910	cytidine deaminase [Sinorhizobium meliloti 1021].
NP_384235.1	SMc04123		deoD	NC_003047.1:151907..152704	purine nucleoside phosphorylase [Sinorhizobium meliloti 1021].
NP_384236.1	SMc04122		deoA	NC_003047.1:152705..154027	thymidine phosphorylase [Sinorhizobium meliloti 1021].
NP_384237.1	SMc04121		upp	complement(NC_003047.1:154131..154760)	uracil phosphoribosyltransferase [Sinorhizobium meliloti 1021].
NP_384238.1	SMc04120		add	complement(NC_003047.1:154871..155845)	adenosine deaminase [Sinorhizobium meliloti 1021].
NP_384239.1	SMc04119		deoB	complement(NC_003047.1:155842..157062)	phosphopentomutase [Sinorhizobium meliloti 1021].
NP_384255.1	SMc02825			NC_003047.1:172213..173604	aminopeptidase [Sinorhizobium meliloti 1021].
NP_384262.1	SMc02832			complement(NC_003047.1:180139..181998)	periplasmic binding protein [Sinorhizobium meliloti 1021].
NP_384263.1	SMc02833		mepA	NC_003047.1:182290..183357	penicillin-insensitive murein endopeptidase [Sinorhizobium meliloti 1021].
NP_384264.1	SMc02834		mgsA	NC_003047.1:183478..183858	methylglyoxal synthase [Sinorhizobium meliloti 1021].
NP_384265.1	SMc02835		glk	NC_003047.1:183920..184939	glucokinase [Sinorhizobium meliloti 1021].
NP_384267.1	SMc02837		dapB	NC_003047.1:186871..187689	dihydrodipicolinate reductase [Sinorhizobium meliloti 1021].
NP_384268.1	SMc02838		gpmA	NC_003047.1:187720..188355	phosphoglyceromutase [Sinorhizobium meliloti 1021].
NP_384277.1	SMc02846			NC_003047.1:195004..195996	sugar kinase [Sinorhizobium meliloti 1021].
NP_384287.1	SMc02856			NC_003047.1:207244..209547	penicillin-binding protein [Sinorhizobium meliloti 1021].
NP_384288.1	SMc02857		dnaK	NC_003047.1:209764..211689	molecular chaperone DnaK [Sinorhizobium meliloti 1021].
NP_384292.1	SMc02861		pit	complement(NC_003047.1:214914..215918)	phosphate transporter [Sinorhizobium meliloti 1021].
NP_384298.1	SMc02867			complement(NC_003047.1:219907..223053)	multidrug-efflux system transmembrane protein [Sinorhizobium meliloti 1021].
NP_384299.1	SMc02868			complement(NC_003047.1:223064..224287)	multidrug efflux system protein [Sinorhizobium meliloti 1021].
NP_384305.1	SMc02874		murQ	complement(NC_003047.1:230235..231131)	N-acetylmuramic acid 6-phosphate etherase [Sinorhizobium meliloti 1021].
NP_384307.1	SMc02876			NC_003047.1:232212..232976	transcriptional regulator [Sinorhizobium meliloti 1021].
NP_384308.1	SMc02877			NC_003047.1:233070..234092	hypothetical protein SMc02877 [Sinorhizobium meliloti 1021].
NP_384309.1	SMc02878		nagA	NC_003047.1:234089..235249	N-acetylglucosamine-6-phosphate deacetylase [Sinorhizobium meliloti 1021].
NP_384311.1	SMc02880			complement(NC_003047.1:236267..237178)	hypothetical protein SMc02880 [Sinorhizobium meliloti 1021].
NP_384316.1	SMc02885		msrA1	complement(NC_003047.1:241298..241951)	methionine sulfoxide reductase A [Sinorhizobium meliloti 1021].
NP_384327.1	SMc02896		ilvE1	complement(NC_003047.1:253002..254099)	branched-chain amino acid aminotransferase [Sinorhizobium meliloti 1021].
NP_384329.1	SMc02898		kdsB	NC_003047.1:255204..255956	3-deoxy-manno-octulosonate cytidylyltransferase [Sinorhizobium meliloti 1021].
NP_384330.1	SMc02899		pheA	NC_003047.1:255981..256835	prephenate dehydratase [Sinorhizobium meliloti 1021].
NP_384334.1	SMc02903			complement(NC_003047.1:258435..259415)	hypothetical protein SMc02903 [Sinorhizobium meliloti 1021].
NP_384340.1	SMc02909			NC_003047.1:263817..265055	transglycosylase transmembrane protein [Sinorhizobium meliloti 1021].
NP_384341.1	SMc02910			complement(NC_003047.1:265263..266918)	transport transmembrane protein [Sinorhizobium meliloti 1021].
NP_384352.1	SMc00326		fabI2	complement(NC_003047.1:280795..281601)	enoyl-ACP reductase [Sinorhizobium meliloti 1021].
NP_384353.1	SMc00327		fabB	complement(NC_003047.1:281606..282826)	3-oxoacyl-ACP synthase [Sinorhizobium meliloti 1021].
NP_384354.1	SMc00328		fabA	complement(NC_003047.1:282876..283391)	3-hydroxydecanoyl-ACP dehydratase [Sinorhizobium meliloti 1021].
NP_384359.1	SMc00333		aroA	NC_003047.1:286978..288345	3-phosphoshikimate 1-carboxyvinyltransferase [Sinorhizobium meliloti 1021].
NP_384360.1	SMc00334		cmk	NC_003047.1:288345..288983	cytidylate kinase [Sinorhizobium meliloti 1021].
NP_384361.1	SMc00335		rpsA	NC_003047.1:289147..290853	30S ribosomal protein S1 [Sinorhizobium meliloti 1021].
NP_384366.1	SMc00340			complement(NC_003047.1:296607..297653)	oxidoreductase [Sinorhizobium meliloti 1021].
NP_384407.1	SMc00381			NC_003047.1:334588..335460	hypothetical protein SMc00381 [Sinorhizobium meliloti 1021].
NP_384413.1	SMc00387		tatA	complement(NC_003047.1:339573..340742)	aromatic amino acid aminotransferase [Sinorhizobium meliloti 1021].
NP_384420.1	SMc00394		guaA	complement(NC_003047.1:343959..345521)	GMP synthase [Sinorhizobium meliloti 1021].
NP_384421.1	SMc00395		pfs	complement(NC_003047.1:345628..346266)	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase [Sinorhizobium meliloti 1021].
NP_384425.1	SMc00399		corA1	complement(NC_003047.1:348723..349712)	magnesium/cobalt transporter CorA [Sinorhizobium meliloti 1021].
NP_384434.1	SMc00408		uppP	NC_003047.1:359249..360055	UDP pyrophosphate phosphatase [Sinorhizobium meliloti 1021].
NP_384438.1	SMc00412		pyrF	complement(NC_003047.1:362070..362774)	orotidine 5'-phosphate decarboxylase [Sinorhizobium meliloti 1021].
NP_384444.1	SMc00419		gshB1	NC_003047.1:367072..368019	glutathione synthetase [Sinorhizobium meliloti 1021].
NP_384446.1	SMc00421		cysK1	complement(NC_003047.1:370367..371335)	O-acetylserine sulfhydrylase A [Sinorhizobium meliloti 1021].
NP_384451.1	SMc00461		dut	complement(NC_003047.1:374362..374844)	deoxyuridine 5'-triphosphate nucleotidohydrolase [Sinorhizobium meliloti 1021].
NP_384455.1	SMc00430			NC_003047.1:378451..379434	oxidoreductase [Sinorhizobium meliloti 1021].
NP_384462.1	SMc01163			complement(NC_003047.1:387088..388218)	oxidoreductase [Sinorhizobium meliloti 1021].
NP_384464.1	SMc01161		dfp	complement(NC_003047.1:389277..390482)	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase [Sinorhizobium meliloti 1021].
NP_384466.1	SMc01159			NC_003047.1:391073..391978	oxidoreductase [Sinorhizobium meliloti 1021].
NP_384469.1	SMc01156		aarF	complement(NC_003047.1:393673..395247)	ubiquinone biosynthesis protein [Sinorhizobium meliloti 1021].
NP_384470.1	SMc01155		ubiE	complement(NC_003047.1:395252..396064)	ubiquinone/menaquinone biosynthesis methyltransferase [Sinorhizobium meliloti 1021].
NP_384472.1	SMc01153			NC_003047.1:397173..397946	enoyl-CoA hydratase [Sinorhizobium meliloti 1021].
NP_384479.1	SMc01147			complement(NC_003047.1:404075..405256)	coproporphyrinogen III oxidase [Sinorhizobium meliloti 1021].
NP_384480.1	SMc01146			complement(NC_003047.1:405268..405912)	deoxyribonucleotide triphosphate pyrophosphatase [Sinorhizobium meliloti 1021].
NP_384485.1	SMc01141		ptsN	complement(NC_003047.1:409774..410238)	nitrogen regulatory IIA protein [Sinorhizobium meliloti 1021].
NP_384491.1	SMc01135			NC_003047.1:415411..416370	protease IV transmembrane protein [Sinorhizobium meliloti 1021].
NP_384500.1	SMc01126		tme	complement(NC_003047.1:424367..426652)	malic enzyme [Sinorhizobium meliloti 1021].
NP_384501.1	SMc01125		mutS	NC_003047.1:426755..429505	DNA mismatch repair protein MutS [Sinorhizobium meliloti 1021].
NP_384503.1	SMc01123		mviN	NC_003047.1:432453..434060	virulence factor MviN-like protein [Sinorhizobium meliloti 1021].
NP_384510.1	SMc01116		olsA	NC_003047.1:438442..439320	acyltransferase transmembrane protein [Sinorhizobium meliloti 1021].
NP_384517.1	SMc01109		metK	NC_003047.1:446191..447471	S-adenosylmethionine synthetase [Sinorhizobium meliloti 1021].
NP_384521.1	SMc01105			NC_003047.1:449429..450373	nucleoside hydrolase [Sinorhizobium meliloti 1021].
NP_384522.1	SMc01104		mcpX	complement(NC_003047.1:450468..452834)	chemoreceptor methyl-accepting chemotaxis transmembrane protein [Sinorhizobium meliloti 1021].
NP_384523.1	SMc01103		rbsK	complement(NC_003047.1:453189..454088)	ribokinase [Sinorhizobium meliloti 1021].
NP_384531.1	SMc01096		dapE	complement(NC_003047.1:459723..460916)	succinyl-diaminopimelate desuccinylase [Sinorhizobium meliloti 1021].
NP_384539.3	SMc01732		dapD	complement(NC_003047.1:470207..471097)	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase [Sinorhizobium meliloti 1021].
NP_384541.1	SMc01730			complement(NC_003047.1:472329..473105)	hypothetical protein SMc01730 [Sinorhizobium meliloti 1021].
NP_384544.1	SMc01727			NC_003047.1:475278..476048	hypothetical protein SMc01727 [Sinorhizobium meliloti 1021].
