model_gene	browser_gene
NP_436791_1	SM_b20261
NP_385732_1	SMc04449
NP_436410_1	SMa2137
NP_386583_1	SMc01943
NP_437492_1	SM_b21374
NP_387090_1	SMc03109
NP_387048_1	SMc03211
NP_384354_1	SMc00328
NP_385610_1	SMc02092
NP_386047_1	SMc04277
NP_436015_1	SMa1408
NP_384307_1	SMc02876
NP_435574_1	SMa0626
NP_387367_1	SMc03878
NP_437015_1	SM_b20493
NP_386655_1	SMc02037
NP_385248_1	SMc00572
NP_387155_1	SMc02486
NP_384353_1	SMc00327
NP_385329_1	SMc01785
NP_435712_1	SMa0853
NP_385250_1	SMc00574
NP_438041_1	SM_b20589
NP_387368_1	SMc03879
NP_387418_1	SMc04407
NP_437401_1	SM_b21196
NP_387074_1	SMc03125
NP_436381_1	SMa2079
NP_437402_1	SM_b21197
NP_437403_1	SM_b21198
NP_437471_1	SM_b21355
NP_386457_1	SMc02689
NP_438030_1	SM_b20578
NP_384122_1	SMc02778
NP_438035_1	SM_b20583
NP_436670_1	SM_b20130
NP_436671_1	SM_b20131
NP_436672_1	SM_b20132
NP_437627_1	SM_b20962
NP_385027_1	SMc00077
NP_437939_1	SM_b20692
NP_435516_1	SMa0513
NP_384421_1	SMc00395
NP_384678_1	SMc02268
NP_437089_1	SM_b20809
NP_384341_1	SMc02910
NP_387396_1	SMc04385
NP_386695_1	SMc02413
NP_437392_1	SM_b21186
NP_435764_1	SMa0956
NP_384623_1	SMc02138
NP_436440_1	SMa2213
NP_386374_1	SMc01656
NP_387410_1	SMc04399
NP_436016_1	SMa1409
NP_385796_1	SMc00262
NP_384639_1	SMc02228
NP_384992_1	SMc00966
NP_384136_1	SMc02764
NP_386788_1	SMc00690
NP_385426_1	SMc01344
NP_385425_3	SMc01345
NP_387433_1	SMc04093
NP_384311_1	SMc02880
NP_384545_1	SMc01726
NP_386731_2	SMc02450
NP_386219_1	SMc01430
NP_386220_1	SMc01431
NP_437390_1	SM_b21184
NP_436439_1	SMa2211
NP_384305_1	SMc02874
NP_386183_1	SMc04362
NP_436829_1	SM_b20299
NP_437985_1	SM_b20753
NP_436012_2	SMa1400
NP_436387_1	SMa2091
NP_384640_1	SMc02229
NP_385411_1	SMc01359
NP_385249_1	SMc00573
NP_386046_1	SMc04275
NP_436258_1	SMa1836
NP_387335_1	SMc03846
NP_385328_1	SMc01784
NP_386469_1	SMc02701
NP_386737_1	SMc00741
NP_384825_1	SMc00774
NP_435543_1	SMa0567
NP_387435_1	SMc04095
NP_386547_1	SMc01500
NP_438042_1	SM_b20590
NP_438063_1	SM_b20611
NP_384238_1	SMc04120
NP_385251_1	SMc00575
NP_386903_1	SMc04013
NP_386511_1	SMc01533
NP_436188_1	SMa1715
NP_437322_1	SM_b21278
NP_437325_1	SM_b21281
NP_385483_2	SMc01288
NP_384577_1	SMc02176
NP_386107_1	SMc04172
NP_386201_1	SMc01491
NP_438008_1	SM_b20776
NP_435846_1	SMa1103
NP_386557_1	SMc01818
NP_386875_1	SMc03985
NP_435813_1	SMa1046
NP_436884_1	SM_b20358
NP_384277_1	SMc02846
NP_437321_1	SM_b21277
NP_387012_1	SMc03175
NP_385852_1	SMc00521
NP_385214_1	SMc02554
NP_386729_1	SMc02448
NP_386466_1	SMc02698
NP_386759_2	SMc00719
NP_437189_1	SM_b21070
NP_385865_1	SMc00508
NP_386834_1	SMc00643
NP_384309_1	SMc02878
NP_386303_1	SMc01845
NP_386294_1	SMc01854
NP_385435_2	SMc01335
NP_385631_1	SMc02071
NP_436503_1	SMa2337
