assembly	taxid	organism	file	bytes	atps_ids	n_reactions	has_atps	genus
GCF_900094565.1	293958	Rhizobium lusitanum	Rhizobium_lusitanum_P1_7.xml.gz	217693		2030	False	Rhizobium
GCF_000255295.1	1144275	Corallococcus coralloides DSM 2259	Corallococcus_coralloides_DSM_2259.xml.gz	190496		1786	False	Corallococcus
GCF_900115595.1	441119	Tranquillimonas alkanivorans	Tranquillimonas_alkanivorans_DSM_19547.xml.gz	183059		1670	False	Tranquillimonas
GCF_001701045.1	1197717	Cloacibacillus porcorum	Cloacibacillus_porcorum_CL_84.xml.gz	154227		1357	False	Cloacibacillus
GCF_000687835.1	1408417	Acholeplasma modicum ATCC 29102	Acholeplasma_modicum_ATCC_29102.xml.gz	88406		816	False	Acholeplasma
GCF_000012565.1	269484	Ehrlichia canis str. Jake	Ehrlichia_canis_str_Jake.xml.gz	91828		840	False	Ehrlichia
GCF_900096955.1	1219383	Acinetobacter boissieri	Acinetobacter_boissieri_ANC_4422.xml.gz	168528	R_ATPS4rpp;	1628	True	Acinetobacter
GCF_900116905.1	574650	Micrococcus terreus	Micrococcus_terreus_CGMCC_1_7054.xml.gz	143654		1283	False	Micrococcus
GCF_000378005.1	1259795	Coprothermobacter platensis DSM 11748	Coprothermobacter_platensis_DSM_11748.xml.gz	121252		1135	False	Coprothermobacter
GCF_900128905.1	1297750	Bacteroides luti	Bacteroides_luti_DSM_26991.xml.gz	154656		1463	False	Bacteroides
GCF_001941485.1	1437875	Corynebacterium frankenforstense DSM 45800	Corynebacterium_frankenforstense_DSM_45800_ST18.xml.gz	135495		1164	False	Corynebacterium
GCF_000006765.1	208964	Pseudomonas aeruginosa PAO1	Pseudomonas_aeruginosa_PAO1.xml.gz	207036	R_ATPS4rpp;	1948	True	Pseudomonas
GCF_000023205.1	465515	Micrococcus luteus NCTC 2665	Micrococcus_luteus_NCTC_2665.xml.gz	136561		1175	False	Micrococcus
GCF_000967915.1	61635	Acholeplasma brassicae	Acholeplasma_brassicae_O502.xml.gz	97166		882	False	Acholeplasma
GCF_900129355.1	112248	Seinonella peptonophila	Seinonella_peptonophila_DSM_44666.xml.gz	147945		1372	False	Seinonella
GCF_000190755.2	697282	Methylobacter tundripaludum SV96	Methylobacter_tundripaludum_SV96.xml.gz	161925		1497	False	Methylobacter
GCF_000500065.1	1417229	Borrelia hispanica CRI	Borrelia_hispanica_CRI.xml.gz	69342		625	False	Borrelia
GCF_000507865.1	1357399	Helicobacter canis NCTC 12740	Helicobacter_canis_NCTC_12740.xml.gz	115650		1007	False	Helicobacter
GCF_000154505.1	411468	[Clostridium] scindens ATCC 35704	Clostridium_scindens_ATCC_35704.xml.gz	137426		1205	False	[Clostridium]
GCF_001878855.1	1904463	Arcobacter lekithochrous	Arcobacter_lekithochrous_LFT_1_7.xml.gz	156339		1422	False	Arcobacter
GCF_000174895.1	641112	Ruminococcus flavefaciens FD-1	Ruminococcus_flavefaciens_FD_1.xml.gz	123035		1077	False	Ruminococcus
GCF_000213975.1	888060	Centipeda periodontii DSM 2778	Centipeda_periodontii_DSM_2778.xml.gz	148096		1362	False	Centipeda
GCF_001514535.1	86166	Thermodesulfovibrio aggregans	Thermodesulfovibrio_aggregans_TGE_P1.xml.gz	133316		1184	False	Thermodesulfovibrio
GCF_000380505.1	1122132	Kaistia granuli DSM 23481	Kaistia_granuli_DSM_23481_Ko04.xml.gz	188452		1740	False	Kaistia
GCF_000313915.1	1234409	Catellicoccus marimammalium M35/04/3	Catellicoccus_marimammalium_M35_04_3.xml.gz	84492		749	False	Catellicoccus
GCF_001587375.1	46224	Bacillus sporothermodurans	Bacillus_sporothermodurans_B4102.xml.gz	157454		1475	False	Bacillus
GCF_000718325.1	1713	Oerskovia turbata	Oerskovia_turbata_NRRL_B_8019.xml.gz	150991		1334	False	Oerskovia
GCF_000012425.1	159087	Dechloromonas aromatica RCB	Dechloromonas_aromatica_RCB.xml.gz	178423	R_ATPS4rpp;	1705	True	Dechloromonas
GCF_900167075.1	413434	Sediminibacterium ginsengisoli	Sediminibacterium_ginsengisoli_DSM_22335.xml.gz	157545		1437	False	Sediminibacterium
GCF_000212695.1	590998	Cellulomonas fimi ATCC 484	Cellulomonas_fimi_ATCC_484.xml.gz	158178		1448	False	Cellulomonas
GCF_000421625.1	1123389	Thermus islandicus DSM 21543	Thermus_islandicus_DSM_21543.xml.gz	143565		1258	False	Thermus
GCF_000421285.1	1304886	Desulfotignum balticum DSM 7044	Desulfotignum_balticum_DSM_7044.xml.gz	172822		1546	False	Desulfotignum
GCF_000285495.1	946235	Oceanobacillus massiliensis str. N'diop	Oceanobacillus_massiliensis_str_N_diop_Ndiop.xml.gz	151758		1414	False	Oceanobacillus
GCF_000187975.2	873449	Streptococcus criceti HS-6	Streptococcus_criceti_HS_6.xml.gz	126973		1159	False	Streptococcus
GCF_900112995.1	706562	Lactobacillus rogosae	Lactobacillus_rogosae_ATCC_27753.xml.gz	122407		1081	False	Lactobacillus
GCF_000701465.1	1122933	Paraoerskovia marina DSM 21750	Paraoerskovia_marina_DSM_21750.xml.gz	143809		1307	False	Paraoerskovia
GCF_900156835.1	405559	Paracoccus saliphilus	Paracoccus_saliphilus_DSM_18447.xml.gz	188394		1732	False	Paracoccus
GCF_000423625.1	1123024	Pseudonocardia asaccharolytica DSM 44247 = NBRC 16224	Pseudonocardia_asaccharolytica_DSM_44247_NBRC_16224.xml.gz	162676		1381	False	Pseudonocardia
GCF_000425385.1	1121480	Pseudoduganella violaceinigra DSM 15887	Pseudoduganella_violaceinigra_DSM_15887.xml.gz	182751		1736	False	Pseudoduganella
GCF_900176305.1	1121291	Clostridium acidisoli DSM 12555	Clostridium_acidisoli_DSM_12555.xml.gz	158055		1449	False	Clostridium
GCF_000178455.1	585530	Brevibacterium mcbrellneri ATCC 49030	Brevibacterium_mcbrellneri_ATCC_49030.xml.gz	140272		1254	False	Brevibacterium
GCF_001719065.1	1008305	Fervidobacterium thailandensis	Fervidobacterium_thailandensis_FC2004.xml.gz	115171		998	False	Fervidobacterium
GCF_000723405.1	65786	Hydrogenophaga intermedia	Hydrogenophaga_intermedia_S1.xml.gz	192072		1756	False	Hydrogenophaga
GCF_000020465.1	290315	Chlorobium limicola DSM 245	Chlorobium_limicola_DSM_245.xml.gz	148186		1364	False	Chlorobium
GCF_001592745.1	959	Bdellovibrio bacteriovorus	Bdellovibrio_bacteriovorus_EC13.xml.gz	139114		1240	False	Bdellovibrio
GCF_900128735.1	1878935	Buchnera aphidicola (Cinara confinis)	Buchnera_aphidicola_Cinara_confinis_BCiconfinis.xml.gz	64049		507	False	Buchnera
GCF_000741695.1	1437610	Bifidobacterium reuteri DSM 23975	Bifidobacterium_reuteri_DSM_23975.xml.gz	105795		895	False	Bifidobacterium
GCF_900116065.1	871741	Brevundimonas viscosa	Brevundimonas_viscosa_CGMCC_1_10683.xml.gz	154409		1419	False	Brevundimonas
GCF_000021545.1	204536	Sulfurihydrogenibium azorense Az-Fu1	Sulfurihydrogenibium_azorense_Az_Fu1.xml.gz	127272		1108	False	Sulfurihydrogenibium
GCF_000827125.1	483547	Geoalkalibacter subterraneus	Geoalkalibacter_subterraneus_Red1.xml.gz	153887		1393	False	Geoalkalibacter
GCF_900106955.1	574349	Aidingimonas halophila	Aidingimonas_halophila_DSM_19219.xml.gz	200679	R_ATPS4rpp;	1965	True	Aidingimonas
GCF_000373385.1	1123393	Thiobacillus thioparus DSM 505	Thiobacillus_thioparus_DSM_505.xml.gz	151741		1425	False	Thiobacillus
GCF_000297115.1	857293	Caloramator australicus RC3	Caloramator_australicus_RC3.xml.gz	126616		1170	False	Caloramator
GCF_000422385.1	1122238	Microbacterium indicum DSM 19969	Microbacterium_indicum_DSM_19969.xml.gz	151876		1350	False	Microbacterium
GCF_000165735.1	706434	Megasphaera micronuciformis F0359	Megasphaera_micronuciformis_F0359.xml.gz	134551		1259	False	Megasphaera
GCF_001567585.1	47874	Micromonospora rosaria	Micromonospora_rosaria_DSM_803.xml.gz	179681		1647	False	Micromonospora
GCF_000153485.2	313595	Psychroflexus torquis ATCC 700755	Psychroflexus_torquis_ATCC_700755.xml.gz	164492		1487	False	Psychroflexus
GCF_000317855.1	759913	Streptococcus dysgalactiae subsp. equisimilis AC-2713	Streptococcus_dysgalactiae_subsp_equisimilis_AC_2713.xml.gz	126932		1178	False	Streptococcus
GCF_000701785.1	1408453	Mycoplasma alvi ATCC 29626	Mycoplasma_alvi_ATCC_29626.xml.gz	60118		513	False	Mycoplasma
GCF_000620765.1	1121433	Desulfovermiculus halophilus DSM 18834	Desulfovermiculus_halophilus_DSM_18834.xml.gz	153186		1356	False	Desulfovermiculus
GCF_001403875.1	687436	Paenibacillus ihumii	Paenibacillus_ihumii_AT5.xml.gz	163695		1501	False	Paenibacillus
GCF_900187885.1	877466	Thermoflexus hugenholtzii JAD2	Thermoflexus_hugenholtzii_JAD2.xml.gz	142996		1238	False	Thermoflexus
GCF_000473955.1	1349822	Coprobacter fastidiosus NSB1	Coprobacter_fastidiosus_NSB1.xml.gz	140246		1304	False	Coprobacter
GCF_000310185.1	1234381	Thauera aminoaromatica S2	Thauera_aminoaromatica_S2.xml.gz	180155		1695	False	Thauera
GCF_900101115.1	386301	Cryobacterium psychrotolerans	Cryobacterium_psychrotolerans_CGMCC_1_5382.xml.gz	152354		1362	False	Cryobacterium
GCF_900177745.1	1610489	Corynebacterium pollutisoli	Corynebacterium_pollutisoli_VDS.xml.gz	136389		1189	False	Corynebacterium
GCF_000331575.1	1191699	Bacillus oryziterrae	Bacillus_oryziterrae_ZYK.xml.gz	139656		1239	False	Bacillus
GCF_000689195.1	1286631	Sphaerotilus natans subsp. natans DSM 6575	Sphaerotilus_natans_subsp_natans_DSM_6575.xml.gz	187933		1732	False	Sphaerotilus
GCF_000308635.1	1206732	Nocardia otitidiscaviarum NBRC 14405	Nocardia_otitidiscaviarum_NBRC_14405.xml.gz	175245		1548	False	Nocardia
GCF_000764185.1	28229	Colwellia psychrerythraea	Colwellia_psychrerythraea_GAB14E.xml.gz	171462		1614	False	Colwellia
GCF_001484935.1	1242245	Acinetobacter johnsonii XBB1	Acinetobacter_johnsonii_XBB1.xml.gz	189416	R_ATPS4rpp;	1848	True	Acinetobacter
GCF_000379985.1	1123298	Streptococcus caballi DSM 19004	Streptococcus_caballi_DSM_19004.xml.gz	120299		1097	False	Streptococcus
GCF_000195635.1	763034	Bacteroides fluxus YIT 12057	Bacteroides_fluxus_YIT_12057.xml.gz	142471		1320	False	Bacteroides
GCF_000583875.1	1229831	Chlamydia avium 10DC88	Chlamydia_avium_10DC88.xml.gz	83116		773	False	Chlamydia
GCF_000015025.1	351607	Acidothermus cellulolyticus 11B	Acidothermus_cellulolyticus_11B_11B_ATCC_43068.xml.gz	141483		1254	False	Acidothermus
GCF_900111375.1	587636	Phycicoccus cremeus	Phycicoccus_cremeus_CGMCC_1_6963.xml.gz	171118		1567	False	Phycicoccus
GCF_900115565.1	587909	Yuhushiella deserti	Yuhushiella_deserti_CGMCC_4_5579.xml.gz	177838		1627	False	Yuhushiella
GCF_000772915.1	1000562	Streptococcus phocae subsp. salmonis	Streptococcus_phocae_subsp_salmonis_C_4.xml.gz	96480		853	False	Streptococcus
GCF_000092365.1	644284	Arcanobacterium haemolyticum DSM 20595	Arcanobacterium_haemolyticum_DSM_20595.xml.gz	107940		985	False	Arcanobacterium
GCF_000179035.2	768700	Mycoplasma suis str. Illinois	Mycoplasma_suis_str_Illinois.xml.gz	40306	R_ATPS4rpp;	339	True	Mycoplasma
GCF_001936235.1	109790	Lactobacillus jensenii	Lactobacillus_jensenii_SNUV360.xml.gz	90418		832	False	Lactobacillus
GCF_000703005.1	1458469	Pseudobutyrivibrio ruminis HUN009	Pseudobutyrivibrio_ruminis_HUN009.xml.gz	135364		1234	False	Pseudobutyrivibrio
GCF_002015115.1	734	Haemophilus paracuniculus	Haemophilus_paracuniculus_CCUG_43573.xml.gz	171793		1777	False	Haemophilus
GCF_001907655.1	1801	Mycobacterium diernhoferi	Mycobacterium_diernhoferi_Bard.xml.gz	172920		1576	False	Mycobacterium
GCF_000763135.1	1677920	Helicobacter jaachi	Helicobacter_jaachi_MIT_09_6949.xml.gz	122181		1077	False	Helicobacter
GCF_000375425.1	1121930	Gracilimonas tropica DSM 19535	Gracilimonas_tropica_DSM_19535.xml.gz	156900		1451	False	Gracilimonas
GCF_000245795.1	883113	Facklamia languida CCUG 37842	Facklamia_languida_CCUG_37842.xml.gz	99518		942	False	Facklamia
GCF_000021565.1	123214	Persephonella marina EX-H1	Persephonella_marina_EX_H1.xml.gz	138581		1238	False	Persephonella
GCF_000160535.1	585502	Prevotella bergensis DSM 17361	Prevotella_bergensis_DSM_17361.xml.gz	142709		1384	False	Prevotella
GCF_000733855.1	39774	Methylomicrobium agile	Methylomicrobium_agile_ATCC_35068.xml.gz	157918	R_ATPS4rpp;	1438	True	Methylomicrobium
GCF_000720925.1	367299	Phycicoccus jejuensis	Phycicoccus_jejuensis_NRRL_B_24460.xml.gz	165456		1521	False	Phycicoccus
GCF_002029235.1	1450648	Clostridium oryzae	Clostridium_oryzae_DSM_28571.xml.gz	151365		1407	False	Clostridium
GCF_900109605.1	464029	Rhizobium oryzae	Rhizobium_oryzae_CGMCC_1_7048.xml.gz	195352		1854	False	Rhizobium
GCF_000372425.1	1123303	Streptococcus ferus DSM 20646	Streptococcus_ferus_DSM_20646.xml.gz	121909		1135	False	Streptococcus
GCF_001702175.1	240427	Lactobacillus paracollinoides	Lactobacillus_paracollinoides_TMW_1_1994.xml.gz	147651		1348	False	Lactobacillus
GCF_000621445.1	1408424	Bacillus bogoriensis ATCC BAA-922	Bacillus_bogoriensis_ATCC_BAA_922.xml.gz	164882		1496	False	Bacillus
GCF_000429265.1	1120943	Actinomyces gerencseriae DSM 6844	Actinomyces_gerencseriae_DSM_6844.xml.gz	145007		1357	False	Actinomyces
GCF_000190695.1	888741	Kingella denitrificans ATCC 33394	Kingella_denitrificans_ATCC_33394.xml.gz	143468		1367	False	Kingella
GCF_002013915.1	1792845	Mucilaginibacter pedocola	Mucilaginibacter_pedocola_TBZ30.xml.gz	172888		1612	False	Mucilaginibacter
GCF_900188095.1	1688639	Noviherbaspirillum humi	Noviherbaspirillum_humi_U15.xml.gz	201056		1951	False	Noviherbaspirillum
GCF_000174755.1	553178	Capnocytophaga gingivalis ATCC 33624	Capnocytophaga_gingivalis_ATCC_33624.xml.gz	125509		1155	False	Capnocytophaga
GCF_900176415.1	504486	Cellulophaga tyrosinoxydans	Cellulophaga_tyrosinoxydans_DSM_21164.xml.gz	156162		1434	False	Cellulophaga
GCF_001700895.1	118101	Buchnera aphidicola (Diuraphis noxia)	Buchnera_aphidicola_Diuraphis_noxia.xml.gz	109864	R_ATPS4rpp;	1079	True	Buchnera
GCF_000321185.1	1211814	Bacillus massilioanorexius AP8	Bacillus_massilioanorexius_AP8.xml.gz	174327		1669	False	Bacillus
GCF_900141865.1	1120997	Anaerovibrio lipolyticus DSM 3074	Anaerovibrio_lipolyticus_DSM_3074.xml.gz	145612		1341	False	Anaerovibrio
