model_gene	browser_gene
NP_809597_1	BT0684
NP_813612_1	BT4701
NP_812041_1	BT3129
NP_810107_1	BT1194
NP_810149_1	BT1236
NP_812682_1	BT3771
NP_811293_1	BT2380
NP_809043_1	BT0130
NP_809035_1	BT0122
NP_812270_1	BT3358
NP_812745_1	BT3834
NP_811016_1	BT2103
NP_811314_1	BT2401
NP_812144_1	BT3232
NP_812218_1	BT3306
NP_813601_1	BT4690
NP_809281_1	BT0368
NP_810361_1	BT1448
NP_810363_1	BT1450
NP_812307_1	BT3395
NP_809485_1	BT0572
NP_810990_1	BT2077
NP_810989_1	BT2076
NP_812604_1	BT3693
NP_809617_1	BT0704
NP_809046_1	BT0133
NP_810719_1	BT1806
NP_812461_1	BT3549
NP_810985_1	BT2072
NP_812669_1	BT3758
NP_812666_1	BT3755
NP_809344_1	BT0431
NP_809680_1	BT0767
NP_809444_1	BT0531
NP_813384_1	BT4473
NP_813298_1	BT4387
NP_810922_1	BT2009
NP_811711_1	BT2799
NP_813241_1	BT4330
NP_812179_1	BT3267
NP_809527_1	BT0614
NP_809326_1	BT0413
NP_812782_1	BT3871
NP_810756_1	BT1843
NP_809588_1	BT0675
NP_809589_1	BT0676
NP_812499_1	BT3588
NP_811054_1	BT2141
NP_811462_1	BT2549
NP_809789_1	BT0876
NP_809156_1	BT0243
NP_813373_1	BT4462
NP_812670_1	BT3759
NP_813362_1	BT4451
NP_811709_1	BT2797
NP_809563_1	BT0650
NP_810836_1	BT1923
NP_811300_1	BT2387
NP_809431_1	BT0518
NP_812723_1	BT3812
NP_811431_1	BT2518
NP_809224_1	BT0311
NP_812619_1	BT3708
NP_811919_1	BT3007
NP_812624_1	BT3713
NP_810467_1	BT1554
NP_810226_1	BT1313
NP_813012_2	BT_4101
NP_809651_1	BT0738
NP_812287_1	BT3375
NP_810389_1	BT1476
NP_812631_1	BT3720
NP_813387_1	BT4476
NP_810884_1	BT1971
NP_809875_1	BT0962
NP_813423_1	BT4512
NP_809163_1	BT0250
NP_811591_1	BT2679
NP_809399_1	BT0486
NP_811059_1	BT2146
NP_813127_1	BT4216
NP_809801_1	BT0888
NP_810528_1	BT1615
NP_812956_1	BT4045
NP_812609_1	BT3698
NP_813600_1	BT4689
NP_809445_1	BT0532
NP_809443_1	BT0530
NP_811035_1	BT2122
NP_809172_1	BT0259
NP_812639_1	BT3728
NP_810186_1	BT1273
NP_812033_1	BT3121
NP_810296_1	BT1383
NP_809264_1	BT0351
NP_809349_1	BT0436
NP_812025_1	BT3113
NP_812306_1	BT3394
NP_812644_1	BT3733
NP_812671_1	BT3760
NP_812547_1	BT3636
NP_811669_1	BT2757
NP_809439_1	BT0526
NP_809464_1	BT0551
NP_811042_1	BT2129
NP_813548_1	BT4637
NP_813220_1	BT4309
NP_809648_1	BT0735
NP_809470_1	BT0557
NP_809655_1	BT0742
NP_809654_1	BT0741
NP_810288_1	BT1375
