NP_742196.1	PP_0026			NC_002947.4:30431..31336	cobalt/cadmium/zinc exporter [Pseudomonas putida KT2440].
NP_742203.1	PP_0033			complement(NC_002947.4:36198..37652)	undecaprenyl-glycosyl transferase [Pseudomonas putida KT2440].
NP_742204.1	PP_0034			complement(NC_002947.4:37646..38629)	bactoprenol glycosyl-transferase [Pseudomonas putida KT2440].
NP_742211.1	PP_0041		cadA-I	complement(NC_002947.4:43527..45524)	cadmium translocating P-type ATPase [Pseudomonas putida KT2440].
NP_742222.1	PP_0052			NC_002947.4:60831..61715	beta-lactamase domain-containing protein [Pseudomonas putida KT2440].
NP_742226.1	PP_0056		betA-I	NC_002947.4:64943..66595	choline dehydrogenase [Pseudomonas putida KT2440].
NP_742228.1	PP_0058			complement(NC_002947.4:68487..69272)	1-acyl-sn-glycerol-3-phosphate acyltransferase [Pseudomonas putida KT2440].
NP_742229.1	PP_0059		gmhB	complement(NC_002947.4:69319..69846)	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase [Pseudomonas putida KT2440].
NP_742235.1	PP_0065		trkA	complement(NC_002947.4:74836..76209)	TrK potassium transporter NAD-binding protein [Pseudomonas putida KT2440].
NP_742242.1	PP_0072		qor-I	complement(NC_002947.4:82151..83128)	quinone oxidoreductase [Pseudomonas putida KT2440].
NP_742243.1	PP_0073		hemF	NC_002947.4:83261..84172	coproporphyrinogen-III oxidase [Pseudomonas putida KT2440].
NP_742244.1	PP_0074		aroE	NC_002947.4:84198..85022	shikimate 5-dehydrogenase [Pseudomonas putida KT2440].
NP_742245.1	PP_0075			complement(NC_002947.4:85152..86717)	choline sulfate transporter [Pseudomonas putida KT2440].
NP_742246.2	PP_0076			complement(NC_002947.4:86862..87785)	choline betaine-binding protein [Pseudomonas putida KT2440].
NP_742247.1	PP_0077		betC	complement(NC_002947.4:87800..89317)	choline-sulfatase [Pseudomonas putida KT2440].
NP_742252.1	PP_0082		trpA	complement(NC_002947.4:91570..92379)	tryptophan synthase subunit alpha [Pseudomonas putida KT2440].
NP_742253.1	PP_0083		trpB	complement(NC_002947.4:92376..93593)	tryptophan synthase subunit beta [Pseudomonas putida KT2440].
NP_742264.1	PP_0094			complement(NC_002947.4:99758..100408)	5'-nucleotidase [Pseudomonas putida KT2440].
NP_742270.1	PP_0100		cynT	NC_002947.4:105207..105926	carbonic anhydrase [Pseudomonas putida KT2440].
NP_742271.1	PP_0101			NC_002947.4:106134..107651	sulfate transporter [Pseudomonas putida KT2440].
NP_742273.1	PP_0103			NC_002947.4:108810..109937	cytochrome c oxidase subunit 2 [Pseudomonas putida KT2440].
NP_742274.1	PP_0104		ctaD	NC_002947.4:109981..111570	cytochrome c oxidase subunit 1 [Pseudomonas putida KT2440].
NP_742275.1	PP_0105			NC_002947.4:111580..112146	cytochrome c oxidase assembly protein [Pseudomonas putida KT2440].
NP_742276.1	PP_0106			NC_002947.4:112163..113050	cytochrome c oxidase subunit 3 [Pseudomonas putida KT2440].
NP_742280.1	PP_0110			NC_002947.4:115698..116591	CyoE-like protoheme IX farnesyltransferase [Pseudomonas putida KT2440].
NP_742282.1	PP_0112		metQ	complement(NC_002947.4:117314..118084)	methionine ABC transporter substrate-binding protein [Pseudomonas putida KT2440].
NP_742283.1	PP_0113		metI	complement(NC_002947.4:118149..118820)	methionine ABC transporter permease [Pseudomonas putida KT2440].
NP_742284.1	PP_0114		metN	complement(NC_002947.4:118820..119827)	methionine ABC transporter ATP-binding protein [Pseudomonas putida KT2440].
NP_742287.1	PP_0117		znuB	complement(NC_002947.4:123085..123867)	zinc ABC transporter permease [Pseudomonas putida KT2440].
NP_742288.1	PP_0118		znuC	complement(NC_002947.4:123860..124633)	zinc ABC transporter ATP-binding protein [Pseudomonas putida KT2440].
NP_742290.1	PP_0120			NC_002947.4:125182..126090	zinc ABC transporter [Pseudomonas putida KT2440].
NP_742291.1	PP_0121		thrB	complement(NC_002947.4:126140..127090)	homoserine kinase [Pseudomonas putida KT2440].
NP_742307.1	PP_0137		gltP	NC_002947.4:144767..146095	glutamate/aspartate-proton DAACS transporter [Pseudomonas putida KT2440].
NP_742315.1	PP_0145		yjbB	complement(NC_002947.4:153637..155295)	Na+/Pi-cotransporter [Pseudomonas putida KT2440].
NP_742317.1	PP_0147		citN	complement(NC_002947.4:156418..157725)	citrate transporter [Pseudomonas putida KT2440].
NP_742324.1	PP_0154		scpC	complement(NC_002947.4:162340..163833)	propionyl-CoA:succinate CoA transferase [Pseudomonas putida KT2440].
