NP_715662.1	SO_0020		fadA	complement(NC_004347.2:23307..24470)	aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA [Shewanella oneidensis MR-1].
NP_715663.1	SO_0021		fadB	complement(NC_004347.2:24493..26643)	aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB [Shewanella oneidensis MR-1].
NP_715666.1	SO_0024		trkH	NC_004347.2:29096..30556	potassium uptake transporter TrkH [Shewanella oneidensis MR-1].
NP_715667.1	SO_0025		hemG	NC_004347.2:30558..31082	oxygen-independent protoporphyrinogen oxidase HemG [Shewanella oneidensis MR-1].
NP_715669.1	SO_0027		hemG	NC_004347.2:31656..32210	oxygen-independent protoporphyrinogen oxidase HemG [Shewanella oneidensis MR-1].
NP_715670.1	SO_0028		trkI	complement(NC_004347.2:32252..33694)	potassium uptake transporter TrkI [Shewanella oneidensis MR-1].
NP_715671.1	SO_0029		trkA	complement(NC_004347.2:33706..35115)	potassium uptake protein TrkA [Shewanella oneidensis MR-1].
NP_715680.1	SO_0038		hemF	NC_004347.2:42152..43060	aerobic coproporphyrinogen III oxidase HemF [Shewanella oneidensis MR-1].
NP_715682.1	SO_0040		aroE	NC_004347.2:43717..44580	shikimate 5-dehydrogenase AroE [Shewanella oneidensis MR-1].
NP_715690.2	SO_0048			complement(NC_004347.2:54456..55589)	predicted non-catalytic member of peptidase subfamily M23B [Shewanella oneidensis MR-1].
NP_715691.1	SO_0049		gpmA	complement(NC_004347.2:55600..57144)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase GpmA [Shewanella oneidensis MR-1].
NP_715695.1	SO_0053		gpsA	NC_004347.2:58583..59599	glycerol-3-phosphate dehydrogenase (NADP+) GpsA [Shewanella oneidensis MR-1].
NP_715699.1	SO_0057		ktrB	complement(NC_004347.2:64299..65660)	sodium-dependent potassium uptake protein integral membrane component KtrB [Shewanella oneidensis MR-1].
NP_715707.1	SO_0065		mogA	NC_004347.2:71134..71667	molybdenum cofactor biosynthesis protein MogA [Shewanella oneidensis MR-1].
NP_715709.1	SO_0067		pbpC	NC_004347.2:78057..80339	penicillin binding protein 1C PbpC [Shewanella oneidensis MR-1].
NP_715711.1	SO_0069		natB	complement(NC_004347.2:80667..81806)	ABC-type sodium efflux system permease component NatB [Shewanella oneidensis MR-1].
