source_locus	existing_model_ids	target_model_id	target_choice	current_locus_tags	current_refseq_proteins	mapping_ambiguous
PP_0074	NP_742244_1	NP_742244_1	reuse_existing_model_gene	PP_RS00385	WP_010951480.1	False
PP_0427		PP_0427	new_locus_tag_id_for_existing_gene_mapper	PP_RS02245	WP_010951761.1	False
PP_0527	NP_742690_2	NP_742690_2	reuse_existing_model_gene	PP_RS02790	WP_010951809.1	False
PP_0528	NP_742691_1	NP_742691_1	reuse_existing_model_gene	PP_RS02795	WP_010951810.1	False
PP_0548		PP_0548	new_locus_tag_id_for_existing_gene_mapper	PP_RS02895	WP_003255348.1	False
PP_0560	NP_742723_1	NP_742723_1	reuse_existing_model_gene	PP_RS02955	WP_010951834.1	False
PP_0565	NP_742728_1	NP_742728_1	reuse_existing_model_gene	PP_RS02980	WP_010951839.1	False
PP_0606	NP_742768_1	NP_742768_1	reuse_existing_model_gene	PP_RS03215	WP_010951872.1	False
PP_0687	NP_742848_1	NP_742848_1	reuse_existing_model_gene	PP_RS03670	WP_010951940.1	False
PP_0723	NP_742884_1	NP_742884_1	reuse_existing_model_gene	PP_RS03865	WP_010951968.1	False
PP_0853	NP_743014_1	NP_743014_1	reuse_existing_model_gene	PP_RS04515	WP_010952070.1	False
PP_1597	NP_743754_1	NP_743754_1	reuse_existing_model_gene	PP_RS08240	WP_049587431.1	False
PP_1614	NP_743771_1	NP_743771_1	reuse_existing_model_gene	PP_RS08320	WP_010952686.1	False
PP_1618	NP_743775_1	NP_743775_1	reuse_existing_model_gene	PP_RS08340	WP_003252342.1	False
PP_1625		PP_1625	new_locus_tag_id_for_existing_gene_mapper	PP_RS08375	WP_003252355.1	False
PP_1765		PP_1765	new_locus_tag_id_for_existing_gene_mapper	PP_RS09070	WP_003252662.1	False
PP_1770	NP_743926_1	NP_743926_1	reuse_existing_model_gene	PP_RS09095	WP_049587303.1	False
PP_1830	NP_743985_1	NP_743985_1	reuse_existing_model_gene	PP_RS09405	WP_003252803.1	False
PP_1866	NP_744021_1	NP_744021_1	reuse_existing_model_gene	PP_RS09585	WP_010952895.1	False
PP_2324	NP_744473_1	NP_744473_1	reuse_existing_model_gene	PP_RS12130	WP_014591663.1	False
PP_2406	NP_744554_1	NP_744554_1	reuse_existing_model_gene	PP_RS12540	WP_010953360.1	False
PP_2407	NP_744555_1	NP_744555_1	reuse_existing_model_gene	PP_RS12545	WP_003250469.1	False
PP_3002	NP_745146_1	NP_745146_1	reuse_existing_model_gene	PP_RS15540	WP_010953902.1	False
PP_3003	NP_745147_1	NP_745147_1	reuse_existing_model_gene	PP_RS15545	WP_010953903.1	False
PP_3080	NP_745224_1	NP_745224_1	reuse_existing_model_gene	PP_RS15945	WP_010953978.1	False
PP_3768	NP_745898_2	NP_745898_2	reuse_existing_model_gene	PP_RS19610	WP_010954598.1	False
PP_5011	NP_747113_1	NP_747113_1	reuse_existing_model_gene	PP_RS26140	WP_004576729.1	False
PP_5013	YP_009237195_1	YP_009237195_1	reuse_existing_model_gene	PP_RS26150	WP_049587492.1	False
PP_5078	NP_747179_1	NP_747179_1	reuse_existing_model_gene	PP_RS26470	WP_010955624.1	False
PP_5079	NP_747180_1	NP_747180_1	reuse_existing_model_gene	PP_RS26475	WP_010955625.1	False
PP_5197		PP_5197	new_locus_tag_id_for_existing_gene_mapper	PP_RS27075	WP_164721831.1	False
PP_5199		PP_5199	new_locus_tag_id_for_existing_gene_mapper	PP_RS27085	WP_010955723.1	False
PP_5213	NP_747314_2	NP_747314_2	reuse_existing_model_gene	PP_RS27165	WP_003253663.1	False
PP_5317	NP_747418_1	NP_747418_1	reuse_existing_model_gene	PP_RS27695	WP_010955810.1	False
PP_5318	NP_747419_1	NP_747419_1	reuse_existing_model_gene	PP_RS27700	WP_004575206.1	False
