model_locus	protein_accession	primary_family	source_color	source_taxon_label	experimental_highlight
PP_5197	WP_164721831.1	UbiI	#ff4ca2	Pseudomonas sp. KBS0802 (WP_164721831.1)	false
PP_5199	WP_010955723.1	UbiH	#2ed661	Pseudomonas sp. KBS0802 (WP_010955723.1)	false
PP_0427	WP_010951761.1	Coq7	#f66427	Pseudomonas sp. KBS0802 (WP_010951761.1)	false
