NP_808922.1	BT_0009			NC_004663.1:5632..6741	ABC transporter phosphate-binding periplasmic protein [Bacteroides thetaiotaomicron VPI-5482].
NP_808986.1	BT_0073			complement(NC_004663.1:69588..71018)	ABC transporter ATP-binding protein [Bacteroides thetaiotaomicron VPI-5482].
NP_809029.1	BT_0116			complement(NC_004663.1:107019..108731)	arsenical pump-driving ATPase [Bacteroides thetaiotaomicron VPI-5482].
NP_809035.1	BT_0122			NC_004663.1:111648..112655	3-oxoacyl-ACP synthase [Bacteroides thetaiotaomicron VPI-5482].
NP_809036.1	BT_0123			complement(NC_004663.1:112706..113182)	NADH-ubiquinone oxidoreductase subunit [Bacteroides thetaiotaomicron VPI-5482].
NP_809037.1	BT_0124			complement(NC_004663.1:113201..114967)	NADH:ubiquinone oxidoreductase subunit [Bacteroides thetaiotaomicron VPI-5482].
NP_809038.1	BT_0125			complement(NC_004663.1:114979..116886)	NADH:ubiquinone oxidoreductase subunit [Bacteroides thetaiotaomicron VPI-5482].
NP_809043.1	BT_0130			complement(NC_004663.1:125549..126364)	D-mannonate oxidoreductase [Bacteroides thetaiotaomicron VPI-5482].
NP_809046.1	BT_0133		murQ	complement(NC_004663.1:129836..130669)	N-acetylmuramic acid 6-phosphate etherase [Bacteroides thetaiotaomicron VPI-5482].
NP_809071.1	BT_0158			complement(NC_004663.1:163152..164579)	Na(+)/H(+) antiporter [Bacteroides thetaiotaomicron VPI-5482].
NP_809075.1	BT_0162			complement(NC_004663.1:167345..169663)	penicillin-binding protein 1C [Bacteroides thetaiotaomicron VPI-5482].
NP_809093.1	BT_0180			NC_004663.1:187553..190300	5-methyltetrahydrofolate--homocysteine methyltransferase [Bacteroides thetaiotaomicron VPI-5482].
NP_809095.1	BT_0182			NC_004663.1:191106..192656	osmo-regulated proline transporter [Bacteroides thetaiotaomicron VPI-5482].
NP_809096.1	BT_0183			complement(NC_004663.1:192751..194139)	transglycosylase [Bacteroides thetaiotaomicron VPI-5482].
NP_809097.1	BT_0184			complement(NC_004663.1:194157..194774)	uridine kinase [Bacteroides thetaiotaomicron VPI-5482].
NP_809108.1	BT_0195			NC_004663.1:208943..209842	glycerophosphoryl diester phosphodiesterase [Bacteroides thetaiotaomicron VPI-5482].
NP_809109.1	BT_0196			NC_004663.1:209855..211201	hexose phosphate transport protein [Bacteroides thetaiotaomicron VPI-5482].
NP_809113.1	BT_0200		hisG	NC_004663.1:215094..215945	ATP phosphoribosyltransferase [Bacteroides thetaiotaomicron VPI-5482].
