model_gene	browser_gene
NP_745727_1	PP_3591
NP_743857_1	PP_1700
NP_743864_1	PP_1707
NP_746432_1	PP_4316
NP_745518_1	PP_3378
NP_745517_1	PP_3377
NP_746143_1	PP_4013
NP_745786_1	PP_3650
NP_745571_1	PP_3433
NP_743567_1	PP_1408
NP_746291_1	PP_4174
NP_743759_1	PP_1602
NP_746315_1	PP_4198
NP_743282_1	PP_1121
NP_746081_1	PP_3951
NP_746082_1	PP_3952
NP_742595_1	PP_0429
NP_744098_1	PP_1946
NP_744867_1	PP_2723
NP_742744_1	PP_0581
NP_744007_1	PP_1852
NP_744068_1	PP_1914
NP_744324_1	PP_2175
NP_744927_1	PP_2783
NP_746654_1	PP_4545
NP_745446_3	PP_3303
NP_746292_1	PP_4175
NP_744070_1	PP_1916
NP_743536_1	PP_1377
NP_745423_1	PP_3280
NP_746745_1	PP_4636
NP_743537_1	PP_1378
NP_743535_1	PP_1376
NP_743541_1	PP_1382
NP_743791_1	PP_1634
NP_745496_2	PP_3356
NP_743540_1	PP_1381
NP_745674_1	PP_3537
NP_743629_1	PP_1471
NP_746904_1	PP_4799
NP_744103_1	PP_1951
NP_744651_1	PP_2503
NP_745397_1	PP_3254
NP_743118_1	PP_0957
NP_743961_1	PP_1806
NP_747359_1	PP_5258
NP_742382_1	PP_0214
NP_746228_1	PP_4108
NP_743639_1	PP_1481
NP_745782_1	PP_3646
NP_745055_1	PP_2911
NP_746226_1	PP_4106
NP_746521_1	PP_4407
NP_745884_1	PP_3754
NP_744201_1	PP_2051
NP_742745_1	PP_0582
NP_745268_1	PP_3124
NP_742721_1	PP_0558
NP_744146_1	PP_1996
NP_742722_1	PP_0559
NP_743764_1	PP_1607
NP_747390_1	PP_5289
NP_747286_1	PP_5185
NP_743505_1	PP_1346
NP_746788_1	PP_4679
NP_746789_1	PP_4680
NP_745857_1	PP_3725
NP_745369_1	PP_3226
NP_744365_1	PP_2216
NP_747051_1	PP_4948
NP_744048_1	PP_1893
NP_744189_1	PP_2039
NP_746885_1	PP_4780
NP_742537_1	PP_0370
NP_747287_1	PP_5186
NP_745708_1	PP_3571
NP_743577_1	PP_1419
NP_744261_1	PP_2112
NP_744488_1	PP_2339
NP_742539_1	PP_0372
NP_746592_1	PP_4481
NP_744069_1	PP_1915
NP_744066_1	PP_1912
NP_743611_1	PP_1453
NP_746598_2	PP_4487
NP_746811_1	PP_4702
NP_745215_1	PP_3071
NP_744500_1	PP_2351
NP_743348_1	PP_1188
NP_743899_1	PP_1743
NP_742754_1	PP_0591
NP_744071_1	PP_1917
NP_746122_1	PP_3992
NP_742870_1	PP_0709
NP_746400_1	PP_4284
NP_746762_1	PP_4653
NP_743663_1	PP_1506
NP_747323_1	PP_5222
NP_744361_1	PP_2212
NP_745777_1	PP_3641
NP_746409_1	PP_4293
NP_746407_1	PP_4291
NP_746382_1	PP_4266
NP_745272_1	PP_3128
NP_746146_1	PP_4016
NP_746992_1	PP_4889
NP_742950_1	PP_0789
NP_744294_1	PP_2145
NP_743514_1	PP_1355
NP_747000_1	PP_4897
NP_743088_1	PP_0927
NP_744345_3	PP_2196
NP_742228_1	PP_0058
NP_743999_1	PP_1844
NP_743878_1	PP_1721
NP_745769_1	PP_3633
NP_742598_1	PP_0432
YP_009237194_1	PP_4976
NP_744673_1	PP_2528
NP_746927_1	PP_4822
NP_747437_1	PP_5336
NP_747436_1	PP_5335
NP_746304_1	PP_4187
NP_746305_1	PP_4188
NP_746306_1	PP_4189
NP_742716_1	PP_0553
NP_746572_1	PP_4461
NP_743559_1	PP_1400
NP_743046_1	PP_0885
NP_743040_1	PP_0879
NP_743041_1	PP_0880
NP_743042_1	PP_0881
NP_743039_1	PP_0878
NP_743498_1	PP_1339
NP_746461_1	PP_4346
YP_009237146_1	PP_5673
NP_745855_1	PP_3722
NP_747370_1	PP_5269
NP_746801_1	PP_4692
NP_744027_1	PP_1872
NP_742978_1	PP_0817
NP_745681_1	PP_3544
NP_746945_1	PP_4840
NP_742661_1	PP_0496
NP_744826_1	PP_2682
NP_743773_1	PP_1616
NP_744947_1	PP_2803
NP_745510_1	PP_3370
NP_744199_1	PP_2049
NP_745969_1	PP_3839
NP_746866_1	PP_4760
NP_746100_1	PP_3970
NP_744574_1	PP_2426
NP_744100_1	PP_1948
NP_745581_1	PP_3443
NP_744733_2	PP_2589
NP_744838_1	PP_2694
NP_742708_1	PP_0545
NP_745601_1	PP_3463
NP_744824_1	PP_2680
NP_744635_1	PP_2487
NP_747473_1	PP_5372
NP_746402_1	PP_4286
NP_746425_1	PP_4309
NP_745318_1	PP_3174
NP_745264_1	PP_3120
NP_744517_1	PP_2368
NP_746178_1	PP_4052
NP_747113_1	PP_5011
NP_744234_1	PP_2084
NP_747025_1	PP_4922
NP_746884_2	PP_4779
NP_743003_1	PP_0842
NP_743141_1	PP_0980
NP_744167_1	PP_2017
NP_742600_1	PP_0434
NP_742587_1	PP_0421
NP_746127_1	PP_3997
NP_742586_1	PP_0420
NP_742888_1	PP_0727
NP_742583_1	PP_0417
NP_742566_1	PP_0399
NP_742549_1	PP_0382
NP_742558_1	PP_0391
NP_742677_1	PP_0514
NP_744477_1	PP_2328
NP_743783_1	PP_1626
NP_744576_1	PP_2428
YP_009237131_1	PP_4140
NP_742730_1	PP_0567
NP_743162_1	PP_1001
NP_743163_1	PP_1002
NP_742353_1	PP_0184
NP_743249_1	PP_1088
NP_743460_1	PP_1300
NP_746538_1	PP_4425
NP_747125_1	PP_5024
NP_746597_1	PP_4486
NP_743457_1	PP_1297
NP_746596_1	PP_4485
NP_743459_1	PP_1299
NP_746595_1	PP_4484
NP_743458_1	PP_1298
NP_746594_1	PP_4483
NP_745859_1	PP_3727
NP_743077_1	PP_0916
NP_743419_1	PP_1259
NP_743366_1	PP_1206
NP_745854_1	PP_3721
NP_744143_1	PP_1992
NP_744140_1	PP_1989
NP_742660_1	PP_0495
NP_743320_1	PP_1160
NP_743906_1	PP_1750
NP_744082_1	PP_1929
NP_744697_1	PP_2552
NP_747100_1	PP_4998
NP_746584_1	PP_4473
NP_743584_1	PP_1426
NP_747439_1	PP_5338
NP_745916_1	PP_3786
NP_746314_1	PP_4197
NP_743019_1	PP_0858
NP_745092_1	PP_2948
NP_744358_1	PP_2209
NP_743229_1	PP_1068
NP_743230_1	PP_1069
NP_743232_1	PP_1071
NP_743231_1	PP_1070
NP_744206_2	PP_2056
NP_742307_1	PP_0137
NP_743802_1	PP_1645
NP_744081_1	PP_1928
NP_746591_1	PP_4480
NP_746590_1	PP_4479
NP_746967_1	PP_4862
NP_743434_1	PP_1274
NP_743126_1	PP_0965
NP_747515_1	PP_5415
NP_747517_1	PP_5417
NP_747514_1	PP_5414
NP_747513_1	PP_5413
NP_747519_1	PP_5419
NP_747516_1	PP_5416
NP_747512_1	PP_5412
NP_747518_1	PP_5418
NP_747164_1	PP_5063
NP_744272_1	PP_2123
NP_745595_1	PP_3457
NP_742428_1	PP_0261
NP_742715_1	PP_0552
NP_742529_1	PP_0362
NP_745772_1	PP_3636
NP_745371_1	PP_3228
NP_745773_1	PP_3637
NP_742376_1	PP_0207
NP_745771_1	PP_3635
NP_742377_1	PP_0208
NP_745080_1	PP_2936
NP_742835_1	PP_0674
NP_742378_1	PP_0209
NP_745307_1	PP_3163
NP_745306_1	PP_3162
NP_745305_1	PP_3161
NP_742826_1	PP_0665
NP_745308_1	PP_3164
NP_745309_1	PP_3165
NP_745312_1	PP_3168
NP_745498_1	PP_3358
NP_745846_1	PP_3713
NP_745310_1	PP_3166
NP_743089_1	PP_0928
NP_743160_1	PP_0999
NP_746832_1	PP_4724
NP_746831_3	PP_4723
NP_742211_1	PP_0041
NP_742196_1	PP_0026
NP_746880_1	PP_4774
NP_743991_2	PP_1836
NP_745718_1	PP_3581
NP_744743_1	PP_2599
NP_744134_2	PP_1983
NP_742833_1	PP_0672
NP_745592_2	PP_3454
NP_745462_1	PP_3319
NP_745086_1	PP_2942
NP_744314_1	PP_2165
NP_742884_1	PP_0723
NP_743032_1	PP_0871
NP_743030_1	PP_0869
NP_743029_1	PP_0868
NP_743031_1	PP_0870
NP_746087_1	PP_3957
NP_742397_2	PP_0229
NP_747162_1	PP_5061
NP_747165_1	PP_5064
NP_742226_1	PP_0056
NP_742247_1	PP_0077
NP_743811_1	PP_1654
NP_742246_2	PP_0076
NP_742245_1	PP_0075
NP_743925_1	PP_1769
NP_743985_1	PP_1830
NP_747418_1	PP_5317
NP_742317_1	PP_0147
NP_744207_1	PP_2057
NP_744847_2	PP_2703
NP_747465_1	PP_5364
NP_745407_1	PP_3264
NP_743053_1	PP_0892
NP_747377_1	PP_5276
NP_746089_1	PP_3959
NP_744570_1	PP_2422
NP_747221_1	PP_5120
NP_745099_1	PP_2955
NP_743998_1	PP_1843
NP_745604_1	PP_3466
NP_744268_1	PP_2119
NP_743452_1	PP_1292
NP_744120_1	PP_1969
NP_742243_1	PP_0073
NP_747202_1	PP_5101
NP_746380_1	PP_4264
NP_745911_1	PP_3781
NP_746546_1	PP_4433
NP_747431_1	PP_5330
NP_746311_1	PP_4194
NP_743196_1	PP_1035
NP_745333_1	PP_3189
NP_747024_1	PP_4921
NP_745331_1	PP_3187
NP_745073_1	PP_2929
NP_745072_1	PP_2928
NP_744197_1	PP_2047
NP_744000_1	PP_1845
NP_747122_1	PP_5021
NP_745858_1	PP_3726
NP_743767_1	PP_1610
NP_744354_1	PP_2205
NP_743195_1	PP_1034
NP_747481_1	PP_5380
NP_743477_1	PP_1317
NP_743479_1	PP_1319
NP_743478_1	PP_1318
NP_742274_1	PP_0104
NP_746368_1	PP_4252
NP_742273_1	PP_0103
NP_746374_1	PP_4258
NP_746372_1	PP_4256
NP_746373_1	PP_4257
NP_746369_1	PP_4253
NP_746367_1	PP_4251
NP_746371_1	PP_4255
NP_742275_1	PP_0105
NP_742276_1	PP_0106
NP_746366_1	PP_4250
NP_746463_1	PP_4348
NP_746331_1	PP_4214
NP_746680_1	PP_4571
NP_743274_1	PP_1113
NP_746703_1	PP_4594
NP_742820_1	PP_0659
NP_742395_1	PP_0227
NP_742394_1	PP_0226
NP_742393_1	PP_0225
NP_745544_1	PP_3405
NP_745016_2	PP_2872
NP_745576_1	PP_3438
NP_746760_1	PP_4651
NP_746759_1	PP_4650
NP_742975_1	PP_0814
NP_742974_1	PP_0813
NP_742973_1	PP_0812
NP_742976_1	PP_0815
NP_743927_1	PP_1771
NP_742749_1	PP_0586
NP_746547_1	PP_4434
NP_746427_1	PP_4311
NP_747371_1	PP_5270
NP_742561_1	PP_0394
NP_743793_1	PP_1636
NP_744274_3	PP_2125
NP_742774_1	PP_0612
NP_744227_1	PP_2077
NP_747328_1	PP_5227
NP_747329_1	PP_5228
NP_745920_1	PP_3790
NP_743140_1	PP_0979
NP_742953_1	PP_0792
NP_743753_1	PP_1596
NP_742679_3	PP_0516
NP_745943_1	PP_3813
NP_742693_1	PP_0530
NP_743261_1	PP_1100
NP_745280_1	PP_3136
NP_743846_1	PP_1689
NP_744021_1	PP_1866
NP_745224_1	PP_3080
NP_744473_1	PP_2324
NP_747397_1	PP_5296
NP_745488_1	PP_3348
NP_742726_1	PP_0563
NP_746779_1	PP_4670
NP_743316_1	PP_1155
NP_744247_1	PP_2097
NP_743499_1	PP_1340
NP_745799_1	PP_3663
NP_745590_1	PP_3452
NP_742536_2	PP_0369
NP_742959_1	PP_0798
NP_744503_1	PP_2354
NP_743569_1	PP_1411
NP_746062_2	PP_3932
NP_747229_1	PP_5128
NP_746602_1	PP_4491
NP_745133_1	PP_2989
NP_746833_1	PP_4725
NP_743397_1	PP_1237
NP_743417_1	PP_1257
NP_744783_1	PP_2639
NP_747233_1	PP_5132
NP_746741_1	PP_4632
NP_744147_1	PP_1997
NP_744245_1	PP_2095
NP_747101_1	PP_4999
NP_743247_1	PP_1086
NP_745413_1	PP_3270
NP_745426_1	PP_3283
NP_744580_1	PP_2432
NP_746825_1	PP_4717
NP_747179_1	PP_5078
NP_745147_1	PP_3003
NP_744555_1	PP_2407
NP_742723_1	PP_0560
NP_744699_1	PP_2554
NP_745726_1	PP_3590
NP_742691_1	PP_0528
NP_743928_3	PP_1772
NP_747240_1	PP_5139
NP_747247_1	PP_5146
NP_746377_2	PP_4261
NP_746626_1	PP_4516
NP_743223_1	PP_1062
NP_743507_1	PP_1348
NP_742792_1	PP_0631
NP_747106_1	PP_5004
NP_743510_1	PP_1351
NP_744474_1	PP_2325
NP_745142_1	PP_2998
NP_744490_1	PP_2341
NP_745503_1	PP_3363
NP_746165_1	PP_4038
NP_747387_1	PP_5286
NP_743754_1	PP_1597
NP_742690_2	PP_0527
NP_743343_1	PP_1183
NP_746843_1	PP_4735
NP_747067_1	PP_4964
NP_745957_1	PP_3827
NP_744285_1	PP_2136
NP_744366_1	PP_2217
NP_743185_1	PP_1024
NP_743171_1	PP_1010
NP_743891_1	PP_1735
NP_743769_1	PP_1612
NP_742705_1	PP_0542
NP_742706_1	PP_0543
NP_742707_1	PP_0544
NP_742401_1	PP_0233
NP_742399_1	PP_0231
NP_742405_1	PP_0237
NP_742408_1	PP_0240
NP_742407_1	PP_0239
NP_742400_1	PP_0232
NP_742402_1	PP_0234
NP_743083_1	PP_0922
NP_746868_1	PP_4762
NP_747457_1	PP_5356
NP_744362_1	PP_2213
NP_744188_2	PP_2038
NP_745596_1	PP_3458
NP_744853_1	PP_2709
NP_746659_1	PP_4550
NP_746658_1	PP_4549
NP_742924_1	PP_0763
NP_747313_1	PP_5212
NP_744841_2	PP_2697
NP_747063_1	PP_4960
NP_747141_1	PP_5040
NP_742905_1	PP_0744
NP_742423_1	PP_0256
NP_742657_1	PP_0492
NP_742424_1	PP_0257
NP_742656_1	PP_0491
NP_742655_1	PP_0490
NP_744333_1	PP_2184
NP_744332_1	PP_2183
NP_744335_1	PP_2186
NP_744334_1	PP_2185
NP_743241_1	PP_1080
NP_742406_1	PP_0238
NP_745362_1	PP_3219
NP_746996_1	PP_4893
NP_743592_1	PP_1434
NP_744740_1	PP_2596
NP_744739_2	PP_2595
NP_743239_1	PP_1078
NP_746986_1	PP_4882
NP_746985_1	PP_4881
NP_746090_1	PP_3960
NP_747297_1	PP_5196
NP_747238_1	PP_5137
NP_747296_1	PP_5195
NP_746288_1	PP_4171
NP_742336_1	PP_0167
NP_742965_1	PP_0804
NP_747026_1	PP_4923
NP_744703_1	PP_2558
NP_744781_1	PP_2637
NP_743581_1	PP_1423
NP_742845_1	PP_0684
NP_742764_1	PP_0602
NP_744908_2	PP_2764
NP_742477_1	PP_0310
NP_746257_1	PP_4138
NP_742404_1	PP_0236
NP_744638_1	PP_2490
NP_742560_1	PP_0393
NP_745145_1	PP_3001
NP_742328_1	PP_0159
NP_747137_1	PP_5036
NP_746164_1	PP_4037
NP_742955_1	PP_0794
NP_742954_1	PP_0793
NP_742956_1	PP_0795
NP_744095_1	PP_1943
NP_743526_1	PP_1367
NP_742494_1	PP_0327
NP_743058_1	PP_0897
NP_743105_1	PP_0944
NP_743911_1	PP_1755
NP_746729_1	PP_4620
NP_747511_1	PP_5411
NP_742887_1	PP_0726
NP_743934_1	PP_1778
NP_743939_1	PP_1783
NP_746889_1	PP_4784
NP_743677_1	PP_1520
NP_743234_1	PP_1073
NP_747034_1	PP_4931
NP_745054_1	PP_2910
NP_746286_1	PP_4169
NP_746916_1	PP_4811
NP_743183_1	PP_1022
NP_746168_1	PP_4042
NP_747452_1	PP_5351
NP_743963_1	PP_1808
NP_745523_1	PP_3383
NP_745522_1	PP_3382
NP_745737_1	PP_3601
NP_743867_1	PP_1710
NP_744190_1	PP_2040
NP_745736_1	PP_3600
NP_744748_2	PP_2604
NP_744515_1	PP_2366
NP_745951_1	PP_3821
NP_743170_1	PP_1009
NP_744298_1	PP_2149
NP_743821_1	PP_1664
NP_743615_1	PP_1457
NP_747379_1	PP_5278
NP_744598_1	PP_2450
NP_747509_1	PP_5409
NP_747399_1	PP_5298
NP_744596_1	PP_2448
NP_746513_1	PP_4399
NP_747400_1	PP_5299
NP_744942_1	PP_2798
NP_742489_1	PP_0322
NP_742832_1	PP_0671
NP_746184_1	PP_4058
NP_743602_1	PP_1444
NP_744347_1	PP_2198
NP_742813_1	PP_0652
NP_745555_1	PP_3417
NP_747142_1	PP_5041
NP_746863_1	PP_4757
NP_746176_1	PP_4050
NP_742510_1	PP_0343
NP_743176_1	PP_1015
NP_743177_1	PP_1016
NP_743178_1	PP_1017
NP_743179_1	PP_1018
NP_743603_1	PP_1445
NP_743180_1	PP_1019
NP_746181_1	PP_4055
NP_747147_1	PP_5046
NP_746540_1	PP_4427
NP_746857_1	PP_4751
NP_747258_1	PP_5157
NP_742852_1	PP_0691
NP_742411_1	PP_0243
NP_744230_2	PP_2080
NP_742836_1	PP_0675
NP_744601_1	PP_2453
NP_744150_1	PP_2000
NP_742897_1	PP_0736
NP_747176_1	PP_5075
NP_747177_1	PP_5076
NP_742327_1	PP_0158
NP_742893_1	PP_0732
NP_744128_1	PP_1977
NP_746803_1	PP_4694
NP_747124_1	PP_5023
NP_747232_1	PP_5131
NP_743157_1	PP_0996
NP_743044_1	PP_0883
NP_746413_1	PP_4297
NP_743237_1	PP_1076
NP_743119_1	PP_0958
NP_745696_2	PP_3559
NP_743897_1	PP_1741
NP_742463_1	PP_0296
NP_742461_1	PP_0294
NP_742462_1	PP_0295
NP_745764_1	PP_3628
NP_747475_1	PP_5374
NP_745322_1	PP_3178
NP_746416_1	PP_4300
NP_743147_1	PP_0986
NP_747293_1	PP_5192
NP_743149_1	PP_0988
NP_743150_1	PP_0989
NP_747294_1	PP_5193
NP_747295_1	PP_5194
NP_744678_1	PP_2533
NP_746698_1	PP_4589
NP_744096_1	PP_1944
NP_745876_1	PP_3745
NP_745878_1	PP_3747
NP_745877_1	PP_3746
NP_746604_1	PP_4493
NP_743236_1	PP_1075
NP_746262_1	PP_4144
NP_742222_1	PP_0052
NP_747037_1	PP_4934
NP_744061_1	PP_1907
NP_743997_1	PP_1842
NP_743193_1	PP_1032
NP_746169_1	PP_4043
NP_745554_1	PP_3416
NP_744608_1	PP_2460
NP_744301_1	PP_2152
NP_743242_1	PP_1081
NP_747155_1	PP_5054
NP_745949_1	PP_3819
NP_744029_1	PP_1874
NP_742938_1	PP_0777
NP_743843_1	PP_1686
NP_746768_1	PP_4659
NP_746333_1	PP_4216
NP_746564_1	PP_4453
NP_746565_1	PP_4454
NP_746566_1	PP_4455
NP_746569_1	PP_4458
NP_747095_1	PP_4993
NP_743978_1	PP_1823
NP_744660_1	PP_2512
NP_742685_1	PP_0522
NP_747317_1	PP_5216
NP_743813_1	PP_1656
NP_746397_1	PP_4281
NP_742908_1	PP_0747
NP_746633_1	PP_4523
NP_742270_1	PP_0100
NP_742271_1	PP_0101
NP_746398_1	PP_4282
NP_745234_1	PP_3090
NP_745885_1	PP_3755
NP_742469_1	PP_0302
NP_744363_1	PP_2214
NP_747419_1	PP_5318
NP_745489_1	PP_3349
NP_744920_1	PP_2776
NP_742819_1	PP_0658
NP_744058_1	PP_1903
NP_742280_1	PP_0110
